Date,NearbyOC,DecNC,DecNC1yr,DecNC2yr,MarNC
1/2/2008,4.625,4.802499771,4.6975,4.66,4.8475
1/3/2008,4.66,4.857500076,4.76,4.715,4.91
1/4/2008,4.6675,4.867499828,4.7925,4.745,4.9175
1/7/2008,4.6625,4.857500076,4.7925,4.75,4.9175
1/8/2008,4.7875,4.960000038,4.8875,4.8775,5.01
1/9/2008,4.7725,4.949999809,4.895,4.885,5.01
1/10/2008,4.75,4.932499886,4.86,4.855,4.99
1/11/2008,4.95,5.132500172,5.015,4.985,5.19
1/14/2008,5.12,5.304999828,5.03,5.01,5.355
1/15/2008,5.09,5.289999962,5.01,5.015,5.345
1/16/2008,5.025,5.212500095,4.95,4.95,5.2725
1/17/2008,5.02,5.210000038,5.03,5.025,5.2725
1/18/2008,4.9825,5.150000095,4.995,4.985,5.2125
1/22/2008,4.89,5.039999962,4.8775,4.87,5.1025
1/23/2008,4.6925,4.840000153,4.6775,4.67,4.9025
1/24/2008,4.8925,5.025000095,4.84,4.815,5.08
1/25/2008,4.9825,5.097499847,4.9,4.87,5.1675
1/28/2008,5.0225,5.105000019,4.905,4.89,5.1875
1/29/2008,5.01,5.107500076,4.935,4.92,5.18
1/30/2008,4.985,5.099999905,4.9,4.9,5.175
1/31/2008,5.0125,5.15749979,4.955,4.96,5.2325
2/1/2008,5.005,5.190000057,4.99,4.99,5.265
2/4/2008,5.105,5.329999924,5.09,5.08,5.4075
2/5/2008,5.0925,5.324999809,5.09,5.08,5.4075
2/6/2008,5.015,5.257500172,5.025,5.06,5.335
2/7/2008,4.995,5.224999905,4.99,5.02,5.3025
2/8/2008,5.08,5.300000191,5.055,5.08,5.3725
2/11/2008,5.035,5.252500057,4.9975,5.035,5.325
2/12/2008,4.9775,5.202499866,4.985,5,5.2825
2/13/2008,4.97,5.192500114,4.97,4.955,5.265
2/14/2008,5.11,5.322500229,5.055,4.995,5.395
2/15/2008,5.147500038,5.380000114,5.08,5.02,5.4475
2/19/2008,5.199999809,5.449999809,5.135,5.06,5.5225
2/20/2008,5.235000134,5.480000019,5.185,5.075,5.565
2/21/2008,5.244999886,5.53000021,5.2725,5.145,5.615
2/22/2008,4.485000134,5.502500057,5.3075,5.2,5.5925
2/25/2008,5.332499981,5.572500229,5.41,5.31,5.6625
2/26/2008,5.304999828,5.565000057,5.4,5.3,5.645
2/27/2008,5.25,5.534999847,5.365,5.265,5.6225
2/28/2008,5.432499886,5.65500021,5.425,5.355,5.73
2/29/2008,5.460000038,5.647500038,5.385,5.32,5.72
3/3/2008,5.554999828,5.760000229,5.4925,5.43,5.835
3/4/2008,5.429999828,5.672500134,5.485,5.4,5.7625
3/5/2008,5.570000172,5.772500038,5.51,5.47,5.855
3/6/2008,5.570000172,5.792500019,5.53,5.5,5.8675
3/7/2008,5.335000038,5.59250021,5.3575,5.33,5.6675
3/10/2008,5.554999828,5.789999962,5.48,5.45,5.8675
3/11/2008,5.639999866,5.855000019,5.6,5.56,5.93
3/12/2008,5.567500114,5.789999962,5.535,5.505,5.8675
3/13/2008,5.597499847,5.832499981,5.555,5.525,5.915
3/14/2008,5.454999924,5.75,5.5375,5.5,5.83
3/17/2008,5.630000114,5.550000191,5.3375,5.3,5.63
3/18/2008,5.692500114,5.612500191,5.385,5.34,5.6925
3/19/2008,5.492499828,5.412499905,5.185,5.15,5.4925
3/20/2008,5.292500019,5.212500095,5.0325,5,5.2925
3/24/2008,5.247499943,5.397500038,5.19,5.15,5.475
3/25/2008,5.447500229,5.597499847,5.39,5.34,5.675
3/26/2008,5.522500038,5.684999943,5.42,5.42,5.7675
3/27/2008,5.554999828,5.684999943,5.41,5.42,5.77
3/28/2008,5.605000019,5.767499924,5.51,5.55,5.85
3/31/2008,5.672500134,5.809999943,5.505,5.55,5.8975
4/1/2008,5.840000153,5.929999828,5.46,5.56,5.995
4/2/2008,5.957499981,6.03000021,5.5,5.6,6.085
4/3/2008,6,6.102499962,5.6025,5.7,6.16
4/4/2008,5.980000019,6.087500095,5.6175,5.71,6.1525
4/7/2008,5.900000095,6.034999847,5.58,5.7,6.11
4/8/2008,5.912499905,6.034999847,5.59,5.7,6.1225
4/9/2008,6.050000191,6.199999809,5.72,5.82,6.2675
4/10/2008,5.942500114,6.112500191,5.7,5.8,6.1925
4/11/2008,5.84250021,6.039999962,5.65,5.76,6.1475
4/14/2008,5.917500019,6.132500172,5.71,5.82,6.225
4/15/2008,6.059999943,6.252500057,5.7775,5.89,6.34
4/16/2008,6.034999847,6.257500172,5.8,5.91,6.35
4/17/2008,6.034999847,6.260000229,5.87,5.97,6.35
