Date,OCBaseline,60thOC,70thOC,80thOC,90thOC,95thOC,NCBaseline,60thNC,70thNC,80thNC,90thNC,95thNC
9/3/2007,,,,,,,3.23,3.29697914,3.40467904,3.53713252,3.71197367,3.8719107
3/3/2008,3.98,4.090786679,4.237899643,4.403339462,4.701030075,4.96212604,3.9,4.010786679,4.157899643,4.323339462,4.621030075,4.88212604
9/2/2008,3.98,4.090786679,4.237899643,4.403339462,4.701030075,4.96212604,3.9,4.010786679,4.157899643,4.323339462,4.621030075,4.88212604
3/2/2009,3.89,3.998920816,4.153607494,4.322388529,4.62812273,4.832844526,3.74,3.848920816,4.003607494,4.172388529,4.47812273,4.682844526
9/1/2009,3.89,3.998920816,4.153607494,4.322388529,4.62812273,4.832844526,3.74,3.848920816,4.003607494,4.172388529,4.47812273,4.682844526
3/1/2010,3.6,3.687779133,3.85738097,4.071312355,4.507526536,4.788799044,3.72,3.807779133,3.97738097,4.191312355,4.627526536,4.908799044
9/1/2010,3.6,3.687779133,3.85738097,4.071312355,4.507526536,4.788799044,3.72,3.807779133,3.97738097,4.191312355,4.627526536,4.908799044
3/1/2011,5.32,5.452797409,5.660915281,6.076647687,6.522979879,6.955105172,5.03,5.162797409,5.370915281,5.786647687,6.232979879,6.665105172
9/1/2011,5.32,5.452797409,5.660915281,6.076647687,6.522979879,6.955105172,5.03,5.162797409,5.370915281,5.786647687,6.232979879,6.665105172
3/1/2012,5.96,6.107079739,6.364145833,6.626488925,7.007304813,7.383798844,4.81,4.957079739,5.214145833,5.476488925,5.857304813,6.233798844
9/4/2012,5.96,6.107079739,6.364145833,6.626488925,7.007304813,7.383798844,4.81,4.957079739,5.214145833,5.476488925,5.857304813,6.233798844
3/1/2013,7.08,7.262048544,7.525209823,7.898197005,8.396861475,8.759860439,5.18,5.362048544,5.625209823,5.998197005,6.496861475,6.859860439
9/3/2013,7.08,7.262048544,7.525209823,7.898197005,8.396861475,8.759860439,5.18,5.362048544,5.625209823,5.998197005,6.496861475,6.859860439
3/3/2014,4.42,4.557632102,4.772858948,5.049709935,5.462182347,5.88888509,4.17,4.307632102,4.522858948,4.799709935,5.212182347,5.63888509
9/2/2014,4.42,4.557632102,4.772858948,5.049709935,5.462182347,5.88888509,4.17,4.307632102,4.522858948,4.799709935,5.212182347,5.63888509
3/2/2015,3.63,3.729062416,3.978215121,4.211009993,4.671391412,5.13253386,3.89,3.989062416,4.238215121,4.471009993,4.931391412,5.39253386
9/1/2015,3.63,3.729062416,3.978215121,4.211009993,4.671391412,5.13253386,3.89,3.989062416,4.238215121,4.471009993,4.931391412,5.39253386
3/1/2016,3.6,3.671339668,3.930130692,4.234272748,4.64433964,5.031298388,3.75,3.821339668,4.080130692,4.384272748,4.79433964,5.181298388
9/1/2016,3.6,3.671339668,3.930130692,4.234272748,4.64433964,5.031298388,3.75,3.821339668,4.080130692,4.384272748,4.79433964,5.181298388
3/1/2017,3.38,3.473922415,3.686662195,3.941439767,4.226237856,4.568536152,3.6,3.693922415,3.906662195,4.161439767,4.446237856,4.788536152
9/1/2017,3.38,3.473922415,3.686662195,3.941439767,4.226237856,4.568536152,3.6,3.693922415,3.906662195,4.161439767,4.446237856,4.788536152
3/1/2018,3.23,3.337507013,3.515965837,3.724792022,4.091987758,4.444987963,3.57,3.673690022,3.852148846,4.06097503,4.428170766,4.781170971
9/1/2018,3.23,3.337507013,3.515965837,3.724792022,4.091987758,4.444987963,3.57,3.673690022,3.852148846,4.06097503,4.428170766,4.781170971
3/1/2019,3.53,3.5847206979196,3.8155985630096,4.0562769984396,4.4683032130796,4.7653724118146,3.81,3.8664390866,4.09731695169,4.33799538712,4.75002160176,5.047090800495
9/1/2019,3.53,3.5847206979196,3.8155985630096,4.0562769984396,4.4683032130796,4.7653724118146,3.81,3.8664390866,4.09731695169,4.33799538712,4.75002160176,5.047090800495
