Date,OCBaseline,60thOC,70thOC,80thOC,90thOC,95thOC,NCBaseline,60thNC,70thNC,80thNC,90thNC,95thNC
3/3/2008,10.30361346,10.77790289,11.15215726,11.69696248,12.30923835,13.09627,10.43496219,10.90925162,11.28350599,11.82831121,12.44058708,13.22761873
9/2/2008,12.81,13.28428943,13.6585438,14.20334902,14.81562489,15.60265654,11.49,11.86410294,12.37230264,12.86925707,13.56131461,14.32656433
3/2/2009,9.370294922,9.612945264,9.994997947,10.58073266,11.211621,11.89720592,8.74688389,8.989534232,9.371586915,9.957321629,10.58820996,11.27379489
9/1/2009,9.44,9.682650342,10.06470302,10.65043774,11.28132607,11.966911,9.12,9.435316416,9.930602528,10.48963118,11.2892077,12.02147018
3/1/2010,9.422901643,9.683287268,10.24054383,10.97627631,12.03267264,12.84726597,8.75167771,9.012063335,9.5693199,10.30505237,11.36144871,12.17604203
9/1/2010,9.35,9.610385625,10.16764219,10.90337466,11.959771,12.77436432,9.26,9.61947245,10.19839925,10.90084203,12.06334184,13.09996419
3/1/2011,11.69502289,12.30469499,13.24703137,13.97314094,15.32992803,17.05251401,12.31339426,12.92306636,13.86540274,14.59151231,15.9482994,17.67088538
9/1/2011,13.53,14.1396721,15.08200848,15.80811805,17.16490514,18.88749112,12.87,13.48446068,14.26194516,15.35190844,16.66572856,18.00730457
3/1/2012,11.60624151,12.26426443,12.88723099,13.47508156,14.61624882,15.75211239,11.22674925,11.88477217,12.50773873,13.0955893,14.23675656,15.37262013
9/4/2012,16.27,16.92802292,17.55098948,18.13884005,19.28000731,20.41587088,11.28,11.95698279,12.58541516,13.3643942,14.50962078,15.59699769
3/1/2013,14.20049358,14.88265921,15.44656474,16.25321318,17.34608698,18.36190324,11.32757234,12.00973797,12.5736435,13.38029194,14.47316574,15.488982
9/3/2013,11.33,12.01216563,12.57607116,13.3827196,14.4755934,15.49140966,10.01,10.83110949,11.59032165,12.25324421,13.38179278,14.07643793
3/3/2014,12.5788306,13.12097548,13.66584654,14.38774671,15.21785362,16.13841026,9.73768029,10.27982517,10.82469623,11.5465964,12.37670331,13.29725995
9/2/2014,10.3,10.84214488,11.38701594,12.10891611,12.93902302,13.85957966,9.64,10.19856963,10.86950783,11.8582176,12.78803181,14.70149426
3/2/2015,10.01529176,10.49768287,11.17815253,11.77255717,12.86445339,14.25741278,9.181128923,9.663520034,10.34398969,10.93839433,12.03029055,13.42324995
9/1/2015,9.12,9.602391111,10.28286077,10.87726541,11.96916163,13.36212102,9.15,9.564840875,10.32485147,11.09854587,11.86417797,13.0631177
3/1/2016,8.816696495,9.076494989,9.716165773,10.50812269,11.45893528,12.2971767,8.763481646,9.02328014,9.662950924,10.45490785,11.40572043,12.24396185
9/1/2016,9.29,9.549798494,10.18946928,10.9814262,11.93223879,12.77048021,9.44,9.900925397,10.53958243,11.36026439,12.41940378,13.21988628
3/1/2017,9.461784177,9.800464551,10.48846096,11.09727434,12.18485454,12.99372623,9.551142265,9.889822639,10.57781905,11.18663243,12.27421263,13.08308431
9/1/2017,9.07,9.408680374,10.09667679,10.70549016,11.79307037,12.60194205,9.82,10.20509698,10.78144492,11.48763687,12.78394466,14.02630829
