"ADRIAN     MO - WEST CENTRAL AGRA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,,-0.2975,-0.0025,-0.3525,0.1550
2,-0.1,-0.25,-0.3025,0.0000,-0.35,0.1500
3,-0.1,-0.25,-0.3025,0.0025,-0.34,0.1525
4,-0.05,-0.2025,-0.2975,-0.0025,-0.3025,0.1513
5,-0.0475,-0.2025,-0.3025,0.0000,-0.315,0.1875
6,-0.0475,-0.1975,-0.2975,0.0000,-0.2475,0.1500
7,0.0025,-0.155,-0.2975,-0.0025,-0.2475,0.1525
8,-0.045,-0.2325,-0.3,-0.005,-0.2475,0.1550
9,-0.045,-0.2275,-0.3,,-0.195,0.1000
10,-0.0025,-0.2,-0.2525,0.0050,-0.2,0.0950
11,0.0025,-0.205,-0.255,-0.0025,-0.1975,0.1025
12,,-0.2,-0.2463,0.0025,-0.15,0.0450
13,,-0.2,-0.2475,0.0000,-0.1475,0.1025
14,,-0.15,-0.25,-0.005,-0.1025,0.0675
15,,-0.145,-0.2475,-0.0075,-0.05,0.0950
16,,-0.18,-0.25,0.0025,-0.0463,0.0975
17,-0.0025,-0.1975,,0.0025,-0.0475,0.0500
18,-0.005,-0.1025,,-0.005,-0.0525,0.0450
19,0.0525,-0.105,,-0.045,-0.05,0.0450
20,0.0525,-0.1035,-0.2013,-0.0475,-0.045,0.0550
21,0.0500,-0.05,,-0.0475,-0.01,0.0475
22,0.0500,-0.0025,,-0.1025,-0.0025,0.1000
23,0.1475,0.1050,,-0.15,-0.0025,0.0950
24,0.1025,-0.0025,,-0.1488,0.0075,0.1000
25,0.1000,0.1000,,-0.245,-0.055,
26,0.1000,0.0975,-0.275,-0.25,-0.015,0.1175
27,0.1988,0.0975,-0.225,-0.245,-0.05,0.1475
28,0.1550,0.1000,-0.2175,-0.2475,-0.0975,0.1500
29,0.1500,0.0475,-0.205,-0.25,-0.0975,0.0975
30,0.1450,0.0050,-0.1425,-0.195,0.0475,0.0200
31,0.1525,-0.1238,-0.145,-0.2025,0.0475,0.0050
32,-0.205,,-0.1925,-0.205,-0.1625,-0.11
33,-0.2,,-0.3,-0.3425,-0.205,-0.3
34,-0.2025,,-0.295,-0.3475,-0.2,-0.4475
35,-0.2525,,-0.37,-0.5,-0.23,-0.4975
36,,,-0.37,-0.7025,-0.175,-0.705
37,,,-0.4025,-0.7475,-0.1475,-1.0525
38,,,-0.4,-0.74,-0.15,-1.0525
39,,-0.1975,-0.385,-0.595,-0.05,-0.895
40,,-0.2025,-0.38,-0.6,-0.05,-0.7313
41,,-0.1,-0.3825,-0.5525,-0.065,-0.7025
42,,-0.0975,-0.3225,-0.4975,-0.0025,-0.5375
43,,-0.105,-0.3225,-0.505,0.0025,-0.5025
44,,-0.1525,-0.2963,-0.4975,0.0000,-0.3525
45,,-0.1525,-0.3675,-0.45,-0.0525,-0.49
46,,-0.1475,-0.37,-0.455,-0.0375,-0.4475
47,,-0.1525,-0.3525,-0.4525,0.0475,-0.4025
48,,,-0.2975,-0.4525,0.0475,-0.4075
