"ADRIAN MO - SCOULAR - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0975,-0.3,-0.2475,
2,-0.1,-0.2475,-0.2525,
3,-0.1,-0.25,-0.2525,0.0500
4,-0.1,-0.22,-0.2475,0.0500
5,-0.05,-0.2025,-0.2025,0.0475
6,-0.0575,-0.2025,-0.1975,0.0550
7,-0.0475,-0.1975,-0.1975,-0.0025
8,0.0025,-0.155,-0.2,0.0050
9,-0.045,-0.2325,-0.24,-0.0025
10,-0.045,-0.1975,-0.2025,0.0025
11,-0.0425,-0.2,-0.195,0.0200
12,-0.0075,-0.195,-0.2463,0.0250
13,0.0025,-0.2,-0.2475,0.0525
14,0.0025,-0.2,-0.25,0.0025
15,0.0475,-0.15,-0.2475,-0.0475
16,0.0525,-0.095,-0.2,-0.045
17,-0.034,-0.2,-0.2675,-0.045
18,-0.0025,-0.2075,-0.2725,-0.0475
19,0.0050,-0.1025,-0.245,-0.0475
20,0.0525,-0.095,-0.2013,-0.0525
21,0.0525,-0.1035,-0.195,-0.07
22,0.0500,-0.05,-0.2,-0.0588
23,0.0500,-0.0025,-0.1975,-0.095
24,0.1475,0.0550,-0.1575,-0.15
25,0.1025,0.0975,-0.25,-0.145
26,0.1000,0.1000,-0.295,-0.1975
27,0.1000,0.0975,-0.195,-0.2
28,0.1988,0.0975,-0.1975,-0.215
29,0.1550,0.0700,-0.195,-0.2225
30,0.1500,0.0475,-0.2025,-0.215
31,0.1550,-0.005,-0.195,-0.2725
32,0.1525,-0.0488,-0.1675,-0.2975
33,-0.145,-0.2525,-0.3,-0.48
34,-0.15,-0.245,-0.295,-0.6025
35,-0.1525,-0.2475,-0.35,-0.5975
36,-0.1525,-0.25,-0.35,-0.59
37,,-0.2975,-0.4025,-0.545
38,,-0.2975,-0.38,-0.5
39,,-0.2525,-0.375,-0.3525
40,,-0.175,-0.35,-0.3475
41,,-0.1525,-0.3225,-0.345
42,,-0.05,-0.3225,-0.2375
43,,-0.0475,-0.3025,-0.25
44,,-0.045,-0.2513,-0.245
45,,-0.1525,-0.3475,-0.2525
46,,-0.1525,-0.35,-0.2525
47,,-0.1475,-0.3025,
48,,-0.1025,-0.2975,
