"BETHANY MO - GFG AG SERVICES-WEST - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2975,-0.5,-0.5175,
2,-0.3,-0.4975,-0.5225,
3,-0.3,-0.5,-0.5225,
4,-0.2975,-0.485,-0.5175,
5,-0.3,-0.4825,,
6,-0.2975,-0.4825,-0.4775,
7,-0.2975,-0.4775,-0.4975,
8,-0.2975,-0.455,-0.5,
9,-0.345,-0.5325,-0.54,
10,-0.335,-0.5275,-0.5525,
11,-0.4325,-0.53,-0.555,
12,-0.3375,-0.535,-0.5163,
13,-0.3075,-0.53,-0.4975,
14,-0.2975,-0.45,-0.5,
15,-0.2725,-0.45,-0.4975,
16,-0.2775,-0.455,-0.5,
17,-0.334,-0.61,-0.4975,
18,-0.2525,-0.5275,-0.5025,
19,-0.245,-0.5225,-0.495,
20,-0.1825,-0.5,-0.5013,
21,-0.1875,-0.4235,-0.495,
22,-0.18,-0.43,-0.48,
23,-0.25,-0.4225,-0.4775,
24,-0.2525,-0.425,-0.4775,
25,-0.3075,-0.4525,,
26,-0.2,-0.35,-0.555,
27,-0.15,-0.3525,-0.555,
28,-0.1513,-0.3525,-0.5475,
29,-0.155,-0.35,-0.555,
30,-0.15,-0.3025,-0.5525,
31,-0.155,-0.305,-0.555,
32,-0.1475,-0.2838,-0.5525,
33,-0.255,-0.4025,-0.63,
34,-0.3,-0.255,-0.635,
35,-0.3025,-0.4575,-0.63,
36,-0.3025,-0.35,-0.6,
37,,-0.3975,-0.5025,
38,,-0.3975,-0.5,
39,,-0.4025,-0.505,
40,,-0.4025,-0.5,
41,,-0.2025,-0.5025,
42,,-0.21,-0.5525,
43,,,-0.5525,
44,,-0.205,-0.4513,
45,,-0.4525,-0.4975,
46,,-0.3025,-0.5,
47,,-0.3075,-0.5025,
48,,-0.3025,-0.4975,
