"BETHANY MO - MFA - GRAND RIVER GROUP - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.4475,-0.54,,
2,-0.45,-0.5375,,
3,-0.45,-0.54,,
4,-0.45,-0.54,,
5,-0.45,-0.4925,,
6,-0.4475,-0.4925,,
7,-0.4475,-0.4875,,
8,-0.4475,-0.495,,
9,-0.555,-0.5725,,
10,-0.455,-0.5675,,
11,-0.4525,-0.57,,
12,-0.4475,-0.565,,
13,-0.4475,-0.55,,
14,-0.4475,-0.55,,
15,-0.4525,-0.55,,
16,-0.4475,-0.545,,
17,-0.394,-0.59,,
18,-0.4025,-0.5875,,
19,-0.405,-0.5925,,-0.5175
20,-0.3975,-0.585,,
21,-0.3975,,,
22,-0.4,-0.5,,
23,-0.4,-0.5025,,
24,-0.4025,-0.505,,
25,-0.3975,-0.4825,,
26,-0.4,-0.47,,
27,-0.4,-0.4625,,
28,-0.4013,-0.4625,,
29,-0.245,-0.46,,
30,-0.25,-0.3025,,
31,-0.245,-0.295,,
32,-0.2475,-0.2988,,
33,-0.425,,-0.6025,
34,-0.4,,-0.6025,
35,-0.4025,,-0.6325,
36,-0.4025,,-0.5613,
37,,-0.3775,-0.6875,
38,,-0.3975,-0.69,
39,,-0.4025,-0.6925,
40,,-0.4,-0.6875,
41,,-0.4025,,
42,,-0.45,,-0.6775
43,,-0.3475,,
44,,-0.355,,
45,,-0.4525,,
46,,-0.4425,,
47,,-0.4475,,
48,,-0.4525,,
