"BRUNSWICK MO - RAY-CARROLL GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2975,-0.3,-0.3475,-0.1025,-0.4025,0.0450
2,-0.28,-0.2975,-0.3025,-0.1,-0.35,0.0500
3,-0.28,-0.3,-0.3025,-0.1075,-0.35,0.0525
4,-0.28,-0.295,-0.2975,-0.1025,-0.3025,-0.0288
5,-0.28,-0.3025,-0.3025,-0.1,-0.305,0.0375
6,-0.2775,-0.3025,-0.2975,-0.1,-0.3075,-0.05
7,-0.2475,-0.2975,-0.2975,-0.1525,-0.2575,-0.0375
8,-0.2475,-0.305,-0.3,-0.165,-0.2275,-0.035
9,-0.295,-0.3825,-0.35,-0.1025,-0.305,-0.13
10,-0.295,-0.3775,-0.3525,-0.105,-0.3,-0.135
11,-0.3025,-0.38,-0.355,-0.1525,-0.2575,-0.1375
12,-0.2475,-0.355,-0.3213,-0.1675,-0.25,-0.055
13,-0.2475,-0.35,-0.2975,-0.15,-0.2075,-0.1075
14,-0.2475,-0.35,-0.28,-0.175,-0.2025,-0.1025
15,-0.2025,-0.3,-0.2775,-0.2175,-0.15,-0.155
16,-0.1475,-0.295,-0.25,-0.1275,-0.1563,-0.1575
17,-0.224,-0.35,-0.3175,-0.1875,-0.1575,-0.21
18,-0.2025,-0.3475,-0.3225,-0.155,-0.1525,-0.155
19,-0.205,-0.3025,-0.315,-0.175,-0.15,-0.055
20,-0.1975,-0.295,-0.3213,-0.2075,-0.155,-0.055
21,-0.1975,-0.3035,-0.315,-0.2575,-0.15,-0.0025
22,-0.2,-0.25,-0.32,-0.3325,-0.1525,0.0000
23,-0.2,-0.2525,-0.3175,-0.33,-0.1525,-0.005
24,-0.2025,-0.255,-0.2975,-0.2288,-0.1525,-0.06
25,-0.1475,-0.3025,-0.4,-0.205,-0.305,0.0375
26,-0.1,-0.3,-0.395,-0.2,-0.215,-0.0525
27,-0.1,-0.3025,-0.395,-0.205,-0.3,-0.0525
28,-0.1013,-0.2525,-0.3975,-0.2075,-0.2575,-0.08
29,-0.095,-0.2,-0.405,-0.2,-0.1575,-0.0525
30,-0.1,-0.2025,-0.4025,-0.255,-0.1525,-0.05
31,-0.105,-0.245,-0.395,-0.2525,-0.1525,-0.005
32,-0.0975,-0.2538,-0.3975,-0.26,-0.2725,0.0500
33,-0.105,,-0.5,-0.3925,-0.255,-0.15
34,-0.11,,,-0.4075,-0.35,-0.4075
35,-0.1025,,,-0.4,-0.38,-0.4075
36,-0.1525,,,-0.4725,-0.355,-0.405
37,,-0.3975,-0.4825,-0.4675,-0.2575,-0.5525
38,,-0.3975,-0.48,-0.46,-0.2,-0.5525
39,,-0.4025,-0.485,-0.465,-0.11,-0.555
40,,-0.375,-0.48,-0.45,-0.1,-0.5513
41,,-0.3225,-0.4525,-0.4525,-0.025,-0.5525
42,,-0.3,-0.4525,-0.4475,-0.0025,
43,,-0.2975,-0.4025,-0.405,-0.0075,-0.5025
44,,-0.295,-0.3013,-0.3525,-0.01,-0.4025
45,,-0.3525,-0.3475,-0.45,-0.0725,-0.4
46,,-0.3525,-0.33,-0.455,-0.0975,-0.3575
47,,-0.3475,-0.3325,-0.4025,-0.1025,-0.3525
48,,-0.3025,-0.2975,-0.4025,-0.1025,-0.3525
