"BROOKFIELD MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.55,-0.5975,-0.2625,-0.5525,
2,-0.45,-0.5475,-0.5525,-0.26,-0.5,-0.1475
3,-0.35,-0.5,-0.6025,-0.2575,-0.49,-0.1738
4,-0.35,-0.525,-0.6475,-0.2625,,-0.1125
5,-0.35,-0.6025,-0.6025,-0.25,-0.465,-0.2
6,-0.2975,-0.6025,-0.6475,-0.25,-0.4475,-0.1775
7,-0.2975,-0.5975,-0.6475,-0.4525,-0.3975,
8,-0.2975,-0.595,-0.65,-0.455,-0.3975,-0.28
9,-0.455,-0.7025,-0.71,-0.4025,-0.445,-0.285
10,-0.395,-0.6975,-0.7025,-0.395,-0.45,-0.2775
11,-0.4025,-0.65,-0.655,-0.3525,-0.3975,-0.205
12,-0.3975,-0.605,-0.5963,-0.4975,-0.4,-0.2475
13,-0.2975,-0.6,-0.5475,-0.45,,-0.3225
14,-0.2475,-0.6,-0.5,-0.455,-0.3525,-0.305
15,-0.2525,-0.5,-0.4975,-0.5075,-0.3,-0.295
16,-0.1975,-0.445,-0.5,-0.3975,-0.2963,-0.36
17,-0.354,-0.5,-0.5475,-0.4475,-0.2975,-0.295
18,-0.3025,-0.5975,-0.5525,-0.395,-0.3025,-0.205
19,-0.295,-0.5525,-0.545,-0.455,-0.3,
20,-0.4475,-0.55,-0.5513,-0.4975,-0.295,-0.1525
21,-0.4475,-0.6035,-0.595,-0.5475,-0.31,-0.15
22,-0.45,-0.6,-0.6,-0.6525,-0.3025,-0.155
23,-0.35,-0.5525,-0.5975,-0.7,-0.3025,-0.2
24,-0.2025,-0.555,-0.5975,-0.5238,-0.2925,-0.1325
25,-0.2475,-0.5025,-0.7,-0.495,,-0.2325
26,-0.25,-0.45,-0.695,-0.6,-0.365,-0.2025
27,-0.25,-0.3525,-0.695,-0.605,-0.45,-0.2425
28,-0.2263,-0.3525,-0.6975,-0.5975,-0.4475,-0.2025
29,-0.145,-0.5,-0.705,-0.6,-0.2975,-0.27
30,-0.15,-0.5525,-0.7025,-0.595,-0.3025,-0.195
31,-0.145,-0.545,-0.695,-0.7025,-0.3025,
32,-0.1475,-0.4288,-0.6475,-0.55,-0.4125,-0.45
33,-0.255,-0.4525,-0.8,-0.7725,-0.405,-0.5475
34,-0.45,-0.455,-0.745,-0.6975,-0.5,-0.5475
35,-0.3525,-0.4475,-0.7,-0.75,-0.53,-0.545
36,-0.3525,-0.45,-0.85,-0.8025,-0.5025,-0.7025
37,,-0.5475,-0.8525,-0.6175,-0.3975,-0.7025
38,,-0.5475,-0.85,-0.61,-0.35,-0.695
39,,-0.5025,-0.805,-0.615,-0.2,-0.7063
40,,-0.475,-0.75,-0.6,-0.2,
41,,-0.4025,-0.7025,-0.6025,-0.165,
42,,-0.35,-0.6525,-0.5975,-0.1525,-0.6525
43,,-0.3475,-0.6025,-0.505,-0.1475,-0.5525
44,,-0.255,-0.5513,-0.5225,,-0.54
45,,-0.4525,-0.6475,-0.7,-0.2325,-0.4975
46,,-0.4525,-0.6,-0.645,-0.2475,-0.5025
47,,-0.4475,-0.5525,-0.6025,-0.2625,-0.515
48,,-0.4525,-0.5475,-0.6025,-0.265,
