"CARROLLTON MO - RAY-CARROLL GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0475,-0.13,-0.1975,-0.0025,-0.2525,0.1550
2,-0.05,-0.1275,-0.1525,0.0000,-0.2,0.2000
3,0.0500,-0.13,-0.2525,-0.0075,-0.2,0.1525
4,0.0000,-0.17,-0.2475,-0.1025,-0.2025,0.0712
5,0.0000,-0.2025,-0.2525,0.0000,-0.205,0.0875
6,0.0525,-0.2025,-0.2475,0.0000,-0.2075,0.0800
7,0.0625,-0.1975,-0.2675,-0.0525,-0.2075,0.0425
8,0.0625,-0.235,-0.27,-0.065,-0.1275,0.0950
9,0.0050,-0.3125,-0.3,-0.0025,-0.205,0.0000
10,-0.045,-0.2975,-0.3225,-0.005,-0.2,-0.055
11,-0.0525,-0.27,-0.325,-0.0525,-0.1575,-0.0575
12,-0.0475,-0.225,-0.2213,-0.1075,-0.2,0.0450
13,0.0525,-0.22,-0.1375,-0.03,-0.1575,-0.0075
14,0.1025,-0.22,-0.1,-0.055,-0.1525,-0.1025
15,0.1475,-0.1,-0.0975,-0.1175,-0.1,-0.155
16,0.2025,-0.045,-0.09,-0.0075,-0.0563,-0.1075
17,0.0260,-0.14,-0.1675,-0.0375,-0.0075,-0.21
18,0.0575,-0.0975,-0.1625,-0.005,-0.0025,-0.055
19,-0.005,-0.0725,-0.175,-0.075,-0.05,0.1450
20,-0.0975,-0.105,-0.2263,-0.1075,-0.105,0.1450
21,-0.0975,-0.1035,-0.245,-0.1875,-0.1,-0.0025
22,-0.05,-0.2,-0.2,-0.3325,-0.1025,0.0000
23,0.1000,-0.2025,-0.2475,-0.29,-0.1025,-0.005
24,0.1475,-0.005,-0.2175,-0.1288,-0.1025,-0.06
25,0.1525,-0.0525,-0.32,-0.105,-0.305,0.1375
26,0.2000,0.0500,-0.295,-0.2,-0.215,0.0475
27,0.2000,0.0475,-0.295,-0.205,-0.25,-0.0525
28,-0.0013,-0.0525,-0.2975,-0.2075,-0.2075,-0.055
29,0.3050,-0.1,-0.305,-0.2,-0.0575,0.0475
30,0.3000,-0.1025,-0.3025,-0.255,-0.0225,0.0500
31,0.2050,-0.145,-0.295,-0.2025,-0.0025,0.0450
32,0.2025,-0.1738,-0.3725,-0.085,-0.1225,0.1000
33,0.0850,-0.2525,-0.36,-0.3925,-0.205,-0.1
34,0.0000,,-0.345,-0.3075,-0.35,-0.3575
35,-0.1025,,-0.35,-0.4,-0.38,-0.2575
36,-0.1525,,,-0.4225,-0.32,-0.405
37,,-0.3475,-0.4325,-0.4175,-0.2075,-0.5025
38,,-0.1975,-0.43,-0.39,-0.1,-0.5025
39,,-0.2025,-0.405,-0.345,0.0900,-0.455
40,,-0.125,-0.35,-0.2,0.0500,-0.4763
41,,-0.0525,-0.3025,-0.1525,0.0750,-0.5025
42,,0.0000,-0.2525,-0.1475,0.0975,
43,,0.0025,-0.2025,-0.105,0.1725,-0.5025
44,,0.0450,-0.0763,-0.1275,0.1700,-0.4025
45,,-0.1425,-0.1775,-0.3,0.0575,-0.35
46,,-0.1025,-0.13,-0.255,0.0025,-0.3075
47,,-0.0975,-0.1325,-0.1525,-0.0025,-0.3025
48,,-0.0825,-0.1275,-0.2025,0.0475,-0.2775
