"CARUTHERSVILLE MO - BUNGE NORTH AMERICA - Corn Basis"
"Week
","2019
","2018
","2017
"
1,0.0025,,
2,0.0200,0.1500,
3,-0.05,0.1050,
4,0.0450,0.1775,
5,0.1500,0.1375,
6,0.1225,0.1825,
7,0.1325,0.3050,
8,0.1425,0.1375,
9,0.0450,0.0125,
10,0.0550,0.0400,
11,0.0775,-0.115,
12,0.0825,0.0200,
13,0.0925,0.1600,
14,0.0825,0.0900,
15,0.1575,0.2450,
16,0.1525,0.1100,
17,0.1060,0.2025,
18,0.0975,0.1975,
19,0.0750,0.1750,
20,0.2425,0.1465,
21,0.2225,0.1000,
22,0.3400,0.1975,
23,0.2900,0.1950,
24,0.1275,0.0775,
25,0.1525,0.0900,
26,0.2000,0.0875,
27,0.2000,0.2375,
28,0.0237,0.1700,
29,-0.105,-0.0525,
30,-0.2,-0.045,
31,-0.155,-0.0788,
32,-0.1575,-0.2325,
33,-0.285,-0.205,
34,-0.2,-0.3375,
35,-0.2025,-0.2,
36,-0.1825,-0.1575,
37,,-0.1375,
38,,-0.1725,
39,,-0.1525,
40,,0.0975,
41,,0.0400,
42,,0.0525,
43,,0.0450,
44,,0.0175,
45,,0.0475,
46,,0.0425,
47,,0.0375,
48,,,
