"CARUTHERSVILLE MO - CGB ENTERPRISES INC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,0.0025,0.1500,,
2,0.0000,0.1525,,
3,0.0000,0.1700,0.1275,
4,0.0500,0.1250,0.0725,
5,0.1200,0.1275,0.1125,
6,0.1225,0.0875,0.1200,
7,0.1425,0.2025,0.0700,
8,0.1125,0.0750,0.0675,
9,0.0250,0.0975,0.0550,
10,0.0050,-0.0475,0.0438,
11,-0.0025,-0.14,,
12,0.0625,-0.145,0.0400,
13,0.0825,-0.03,0.0825,0.1650
14,0.0525,0.0300,0.0800,0.2700
15,0.0575,0.0500,0.0325,0.3250
16,0.1225,0.1550,0.4475,0.3925
17,0.0460,0.0500,0.0150,0.0500
18,0.0575,0.1025,0.0038,0.1050
19,0.0550,0.1175,,0.0675
20,0.0775,0.1200,,0.1150
21,0.1525,0.0965,,-0.0625
22,0.1700,0.0500,,-0.0875
23,0.2300,0.0775,-0.12,0.0000
24,0.1975,0.0750,-0.165,-0.0925
25,0.0025,-0.0025,-0.125,
26,0.0000,0.0000,-0.1775,-0.09
27,0.1000,-0.0025,-0.165,-0.095
28,0.0737,0.1175,,-0.03
29,-0.155,0.0000,,
30,-0.24,0.0575,-0.065,
31,-0.245,0.0050,-0.24,
32,-0.1975,-0.0938,-0.225,
33,-0.335,-0.1525,-0.28,
34,-0.27,-0.275,-0.35,
35,-0.2025,-0.3775,-0.1825,
36,-0.2525,-0.2,-0.21,
37,,-0.1975,-0.185,
38,,-0.2475,-0.22,
39,,-0.2025,-0.1725,
40,,-0.09,-0.0025,
41,,-0.0025,-0.0825,
42,,0.0200,0.0237,
43,,0.0525,-0.0475,
44,,0.0450,-0.09,
45,,-0.0025,-0.1025,
46,,-0.0025,0.0525,
47,,0.0425,,
48,,0.0375,,
