"CARUTHERSVILLE MO - CONSOLIDATED GRAIN AND BARGE - Corn Basis"
"Week
","2016
","2015
","2014
"
1,0.1675,0.1175,0.2950
2,0.1900,0.1600,0.2600
3,0.1825,0.2000,
4,0.2075,0.1775,0.2763
5,0.1800,0.2550,0.3375
6,0.1000,0.2525,0.2800
7,0.0975,0.2325,0.3625
8,0.0850,0.2825,0.2750
9,,0.2050,0.1900
10,0.1250,0.2000,
11,0.1075,0.1125,
12,0.0825,0.1700,0.2750
13,,0.1625,0.2225
14,,0.1575,0.2375
15,,0.2100,0.2450
16,,0.2388,0.2675
17,,0.2025,0.1900
18,,0.1575,0.2450
19,,0.1800,0.2250
20,,0.1850,0.3050
21,,0.1800,0.2175
22,,0.1775,0.2600
23,,0.1775,0.2750
24,,0.1875,0.3100
25,,0.0550,
26,,0.0950,0.2975
27,,0.0500,0.3775
28,,0.0025,0.3800
29,,-0.0275,0.0275
30,,-0.2025,0.0500
31,,-0.1525,0.1550
32,,-0.4025,0.2400
33,,-0.245,
34,,-0.2,-0.1975
35,,-0.23,-0.2075
36,,-0.205,-0.375
37,,-0.0975,-0.4425
38,,0.0000,-0.4025
39,,-0.05,-0.145
40,,0.1000,-0.3113
41,,0.1350,0.1575
42,,0.1675,0.2525
43,,0.2025,0.2175
44,,0.1300,0.2575
45,,0.1275,0.1300
46,,0.2025,0.1025
47,,0.1875,0.2475
48,,0.1225,0.0825
