"CENTER    MO - ADM - Corn Basis"
"Week
","2019
","2018
","2017
"
1,-0.2675,-0.25,
2,-0.33,-0.2575,
3,-0.29,-0.24,
4,-0.27,-0.265,
5,-0.2,-0.2725,
6,-0.1775,-0.2925,
7,-0.2175,-0.1875,
8,-0.2175,-0.195,
9,-0.285,-0.3025,
10,-0.285,-0.4475,
11,-0.2825,-0.44,
12,-0.2775,-0.485,
13,-0.2575,-0.41,
14,-0.1375,-0.39,
15,-0.1225,-0.39,
16,-0.0375,-0.255,
17,-0.104,-0.32,
18,-0.1225,-0.2575,
19,-0.235,-0.2725,
20,-0.3025,-0.26,
21,-0.2275,-0.3035,
22,-0.21,-0.32,
23,-0.12,-0.2725,
24,-0.0025,-0.215,
25,-0.1875,-0.3425,
26,-0.1,-0.2,
27,-0.15,-0.2825,
28,-0.1913,-0.2025,
29,-0.225,-0.28,
30,-0.23,-0.2125,
31,-0.255,-0.225,
32,-0.2875,-0.2488,
33,-0.495,-0.3425,
34,-0.47,-0.435,
35,-0.3625,-0.5175,
36,-0.3825,-0.42,
37,,-0.4475,
38,,-0.4775,
39,,-0.5025,
40,,-0.39,
41,,-0.2525,
42,,-0.26,
43,,-0.2675,
44,,-0.225,
45,,-0.2825,
46,,-0.3525,
47,,-0.2675,
48,,-0.2925,
