"CENTRALIA MO - JBS LIVE PORK LLC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0175,-0.17,-0.0975,
2,-0.08,-0.1275,-0.1325,
3,-0.12,-0.11,-0.1325,0.0500
4,-0.12,-0.185,-0.1575,0.0300
5,-0.14,-0.2125,-0.1625,0.0275
6,-0.1375,-0.2125,-0.1575,0.0250
7,-0.1375,-0.2075,-0.1975,0.0275
8,,-0.205,-0.2,0.0350
9,-0.095,-0.2825,-0.22,0.0275
10,-0.105,-0.2775,-0.1825,0.0275
11,-0.1025,-0.25,-0.185,0.0600
12,-0.1475,-0.255,-0.1113,0.0150
13,-0.0675,-0.3,-0.0975,-0.1575
14,-0.0475,-0.3,-0.05,-0.1475
15,-0.0525,,-0.0675,-0.0975
16,-0.0475,-0.115,-0.05,-0.105
17,-0.144,,-0.1975,-0.065
18,-0.1425,,-0.2025,-0.1475
19,-0.115,,-0.205,-0.1275
20,-0.2175,-0.28,-0.2013,-0.2325
21,-0.1775,,-0.215,-0.25
22,-0.18,,-0.25,-0.1988
23,-0.15,-0.1225,-0.1975,-0.145
24,-0.0725,-0.065,-0.1675,-0.1
25,-0.0975,-0.1625,-0.28,-0.105
26,0.0000,-0.08,-0.275,-0.1475
27,0.0200,-0.0525,-0.245,-0.1
28,0.0337,-0.0525,-0.2375,-0.295
29,0.0050,-0.15,,-0.3025
30,0.0000,-0.1525,,-0.205
31,0.0050,-0.095,-0.205,-0.2425
32,-0.0475,-0.1038,-0.2,-0.2475
33,-0.245,-0.2025,-0.2,-0.25
34,-0.24,-0.255,-0.275,-0.2525
35,-0.1525,-0.2975,-0.38,-0.3475
36,-0.1525,-0.25,-0.38,-0.39
37,,-0.2775,-0.3825,-0.395
38,,-0.2775,,-0.32
39,,-0.2825,-0.205,
40,,-0.15,-0.2,
41,,-0.0825,-0.1825,-0.055
42,,-0.08,-0.1825,-0.0575
43,,-0.1475,-0.1825,-0.15
44,,-0.085,-0.0813,-0.145
45,,-0.1525,-0.1975,-0.1525
46,,-0.1825,-0.22,-0.1525
47,,-0.1775,-0.2225,
48,,-0.1825,-0.2175,
