"CHARLESTON MO - CARGILL - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0375,0.0800,0.1125,-0.0025,-0.0025,0.2450
2,-0.08,0.1125,0.1375,-0.01,0.1500,0.2500
3,-0.06,0.1500,0.0875,-0.0075,0.1600,0.1825
4,-0.005,0.0900,0.0925,-0.0025,0.0475,0.2363
5,0.0400,0.1175,0.0775,0.0700,0.1450,0.2575
6,0.0425,0.0875,0.0925,0.0000,0.1125,0.2500
7,0.0725,0.0725,0.1125,-0.0025,0.1425,0.3125
8,0.0425,0.1950,0.1400,0.0150,0.1925,0.2450
9,-0.005,0.0475,0.0700,0.0275,0.1150,0.1300
10,-0.005,-0.0275,0.0975,0.0250,0.1500,0.1950
11,0.0475,-0.08,0.0750,0.0375,0.0925,0.1725
12,0.0525,-0.105,0.0488,0.0475,-0.08,0.2350
13,0.0925,-0.05,0.0225,0.0600,0.0825,0.2025
14,0.0725,0.0000,0.0000,0.0750,0.0775,0.2075
15,0.1175,0.0500,0.0225,0.0925,-0.04,0.2050
16,0.1325,0.1150,0.0500,0.0525,0.1688,0.2025
17,0.1160,-0.02,-0.1175,0.0925,0.1925,0.1400
18,0.1175,0.1025,0.0075,0.1050,0.1475,0.1650
19,0.0150,0.0775,0.0050,-0.005,0.1000,0.1750
20,0.0725,0.0600,0.0088,-0.0075,0.0950,0.1750
21,0.1025,-0.0035,,0.0025,0.1000,0.2375
22,0.1000,-0.01,,0.0175,0.0975,0.2400
23,0.0900,0.0475,,0.0500,0.0975,0.2350
24,0.2275,0.0450,,0.0862,0.0975,0.2500
25,0.0225,-0.0025,,0.0650,-0.085,0.3075
26,0.0500,0.0000,,0.0900,-0.015,0.2375
27,0.1000,-0.0025,,0.2350,-0.05,0.2475
28,-0.0013,0.0775,,0.2225,-0.0525,0.3450
29,-0.155,0.0300,-0.185,0.0000,-0.1075,0.1175
30,-0.23,-0.0025,,0.0150,-0.2025,0.1400
31,-0.235,0.0350,-0.115,-0.0325,-0.1525,0.0950
32,-0.2075,-0.0638,-0.1225,0.0250,,0.2000
33,-0.295,-0.1625,-0.21,-0.0825,-0.205,-0.16
34,-0.22,-0.265,-0.245,-0.1075,-0.21,-0.1475
35,-0.2225,-0.3375,-0.3,-0.08,-0.23,-0.2575
36,-0.2025,-0.26,-0.34,-0.0625,-0.23,-0.385
37,,-0.1575,-0.6225,,-0.1375,-0.5025
38,,-0.1375,-0.25,-0.04,-0.1,-0.6525
39,,-0.2525,-0.205,0.0150,-0.21,-0.255
40,,-0.14,-0.19,0.0600,0.0000,-0.3013
41,,0.0475,-0.1525,0.0775,0.0950,-0.0025
42,,0.0000,-0.1025,0.0725,0.1175,0.0425
43,,0.0025,-0.1025,0.0650,0.1425,-0.0025
44,,0.0150,0.0387,0.0225,0.1300,0.2275
45,,-0.0225,-0.0875,0.0500,0.0375,0.1400
46,,-0.0225,-0.02,0.0650,0.0825,0.0425
47,,-0.0275,-0.1025,0.0375,0.1075,-0.0325
48,,-0.0425,-0.0575,0.1175,-0.0275,-0.0525
