"CHILHOWEE MO - WEST CENTRAL AGRI SERVICE - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2975,-0.5,-0.4475,-0.1525,-0.6025,-0.045
2,-0.3,-0.4975,-0.4525,-0.15,-0.6,-0.05
3,-0.2,-0.45,-0.4525,-0.1475,-0.59,-0.0475
4,-0.2,-0.45,-0.4475,-0.1525,-0.6025,-0.0488
5,-0.2,-0.4525,,-0.15,-0.615,-0.0125
6,-0.1975,-0.3525,-0.4475,-0.15,-0.4975,-0.05
7,-0.1975,-0.2975,-0.4475,-0.1525,-0.3975,-0.0475
8,-0.1975,-0.275,-0.38,-0.155,-0.3975,-0.055
9,-0.245,-0.3525,-0.4,-0.1625,-0.445,-0.1
10,-0.245,-0.3475,-0.4025,-0.195,-0.4,-0.105
11,-0.2025,-0.35,-0.405,-0.2025,-0.3975,-0.0975
12,-0.1975,-0.355,-0.3463,-0.2025,-0.35,-0.155
13,-0.1975,-0.35,-0.3975,-0.2,-0.2975,-0.1475
14,-0.1975,-0.35,-0.4,-0.205,,-0.1825
15,-0.2025,-0.3,-0.3975,-0.2075,,-0.155
16,-0.1975,-0.295,-0.35,-0.1975,-0.2013,-0.1525
17,-0.294,-0.37,-0.4475,-0.1975,-0.1975,-0.2
18,-0.3025,-0.3675,-0.4525,-0.205,-0.2025,-0.205
19,-0.295,-0.3725,-0.455,-0.205,-0.2,-0.205
20,-0.2475,-0.375,-0.4263,-0.1975,-0.205,-0.195
21,-0.1975,-0.3735,-0.395,-0.1975,-0.16,-0.2025
22,-0.2,-0.37,-0.4,-0.2525,-0.1525,-0.2
23,-0.2,-0.2025,-0.3975,-0.3,-0.1525,-0.205
24,-0.1525,-0.105,-0.3975,-0.2988,-0.1425,-0.2
25,-0.1975,-0.1525,-0.4,-0.295,-0.255,-0.0325
26,-0.2,-0.15,-0.455,-0.35,-0.215,-0.0825
27,-0.2,-0.1525,-0.445,-0.355,-0.25,-0.0525
28,-0.1013,-0.1525,-0.4475,-0.3475,-0.2975,-0.125
29,-0.095,-0.15,-0.455,-0.4,-0.2975,-0.2525
30,-0.1,-0.1525,-0.4525,-0.395,-0.3025,-0.27
31,-0.105,-0.145,-0.455,-0.3025,-0.3025,-0.245
32,-0.0175,-0.1738,-0.4175,-0.315,-0.4125,-0.25
33,-0.105,-0.0125,-0.55,-0.4425,-0.295,-0.35
34,-0.2,0.1150,-0.455,-0.4475,-0.3,-0.3475
35,-0.2025,0.1825,-0.5,-0.55,-0.33,-0.4975
36,-0.2025,0.0100,-0.5,-0.7025,-0.3,-0.605
37,,-0.0075,-0.5025,-0.6975,-0.3475,-0.6025
38,,0.0125,-0.5,-0.69,-0.35,-0.9025
39,,-0.1025,-0.505,-0.695,-0.35,-0.945
40,,-0.195,-0.5,-0.7,-0.25,-0.9563
41,,-0.3525,-0.5525,-0.6525,-0.215,-0.8525
42,,-0.3,-0.5525,-0.6475,-0.2025,-0.8375
43,,-0.2975,-0.5525,-0.555,-0.1475,-0.7725
44,,-0.295,-0.5013,-0.5475,-0.15,-0.6125
45,,-0.2025,-0.5875,-0.55,-0.2025,-0.59
46,,-0.2125,-0.57,-0.555,-0.1875,-0.5975
47,,-0.1775,,-0.5525,-0.2025,-0.6025
48,,-0.0925,-0.5475,-0.5525,-0.2025,-0.6125
