"CHILLICOTHE MO - MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.3975,-0.45,-0.4975,
2,-0.35,-0.4475,-0.4525,
3,-0.4,-0.4,-0.5025,
4,-0.35,-0.42,-0.5475,
5,-0.3,-0.4525,-0.5025,
6,-0.2475,-0.4525,-0.5475,
7,-0.2475,-0.4475,-0.5475,-0.35
8,-0.2475,-0.455,-0.55,-0.355
9,-0.395,-0.5525,-0.61,-0.4075
10,-0.355,-0.5475,-0.6025,-0.2975
11,-0.3525,-0.55,-0.605,-0.3475
12,-0.3475,-0.505,-0.5213,-0.295
13,-0.2475,-0.5,-0.4475,-0.345
14,-0.1975,-0.5,-0.4,-0.3975
15,-0.2025,-0.5,-0.3975,-0.4475
16,-0.1475,-0.395,-0.4,-0.6525
17,-0.294,,-0.4475,-0.6
18,-0.2525,-0.4975,-0.4525,-0.4488
19,-0.255,-0.6525,-0.455,-0.455
20,-0.3725,-0.645,-0.4513,-0.5
21,-0.3975,-0.5035,-0.545,-0.495
22,-0.4,-0.5,-0.5,-0.4975
23,-0.3,-0.5025,-0.4975,-0.5
24,-0.1525,-0.505,-0.5475,-0.495
25,-0.1975,-0.6525,-0.6,-0.6025
26,-0.2,-0.45,-0.605,-0.445
27,-0.2,-0.3025,-0.595,-0.6725
28,-0.1763,-0.3025,-0.5975,-0.6475
29,-0.095,-0.4,-0.555,-0.65
30,-0.1,-0.4525,-0.6025,-0.7525
31,-0.105,-0.445,-0.555,
32,-0.0975,-0.2788,-0.5725,
33,-0.205,-0.3525,-0.65,
34,-0.3,-0.355,-0.645,
35,-0.3025,-0.3475,-0.68,
36,-0.3025,-0.35,-0.64,
37,,-0.4475,-0.6425,
38,,-0.4475,-0.64,-0.4475
39,,-0.4525,-0.635,-0.6
40,,-0.4,-0.58,-0.555
41,,-0.3525,-0.5525,-0.5025
42,,-0.3,-0.5525,-0.5025
43,,-0.2975,-0.4525,
44,,-0.295,-0.5013,
45,,-0.4025,-0.5475,
46,,-0.4025,-0.55,
47,,-0.3975,-0.4525,
48,,-0.4025,-0.4475,
