"CHULA     MO - CHULA FARMERS COOP - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.55,-0.5975,,,-0.205
2,-0.45,-0.4975,-0.6525,,-0.6,-0.16
3,-0.45,-0.5,-0.5525,,-0.5225,-0.2575
4,-0.45,-0.475,-0.5475,,-0.585,-0.2238
5,-0.45,-0.4525,-0.5525,,-0.4775,
6,-0.4975,-0.4525,-0.5975,,,-0.3
7,-0.3975,-0.4475,-0.6475,,-0.5075,-0.2575
8,-0.3975,-0.455,-0.65,,-0.555,-0.245
9,-0.455,,-0.7,,-0.6,-0.42
10,-0.455,,-0.6525,,-0.4975,-0.365
11,-0.4525,,-0.655,,-0.52,-0.3675
12,-0.4475,,-0.6213,,-0.4475,-0.365
13,-0.3975,-0.55,,-0.5025,-0.4525,-0.3575
14,-0.2975,-0.55,,-0.6,,-0.4025
15,-0.3025,-0.5,,-0.5488,-0.4213,-0.455
16,-0.2975,-0.495,,,-0.3475,-0.4525
17,-0.384,,-0.5975,,-0.3525,-0.51
18,-0.4025,,-0.5525,,-0.35,-0.455
19,-0.405,,-0.545,,-0.355,-0.405
20,-0.3475,,-0.5513,,-0.35,-0.255
21,-0.3975,-0.5535,-0.595,,-0.3525,-0.2325
22,-0.4,-0.5,-0.55,,,-0.25
23,-0.4,-0.5025,-0.4975,,-0.3025,-0.305
24,-0.4025,-0.505,-0.5475,-0.5925,-0.505,-0.3
25,-0.5275,-0.4525,-0.6,-0.5975,-0.455,-0.2125
26,-0.35,-0.45,-0.605,-0.6,-0.5,-0.2225
27,-0.35,-0.4525,-0.595,-0.6025,-0.5025,-0.3025
28,-0.2013,-0.4525,-0.5975,,-0.4275,-0.365
29,-0.195,-0.45,,,-0.4425,-0.4225
30,-0.2,-0.5525,,,-0.4525,
31,-0.205,-0.545,,,-0.5625,-0.355
32,-0.1975,-0.3788,,-0.6025,-0.555,
33,-0.395,-0.5325,-0.74,-0.5975,-0.55,
34,-0.4,-0.505,-0.695,-0.605,-0.58,
35,-0.4025,-0.4975,-0.68,-0.5725,-0.5,-0.4575
36,-0.4025,-0.45,-0.6,-0.65,-0.4975,-0.605
37,,,,-0.645,-0.45,-0.8825
38,,,,-0.6525,-0.4,-0.8825
39,,,,-0.6525,-0.4,-1.005
40,,-0.3975,,,,-0.75
41,,-0.3525,,,-0.3825,-0.9025
42,,-0.35,-0.6525,,-0.2975,-0.9075
43,,-0.3475,-0.6025,,-0.3,-0.8525
44,,-0.355,-0.6013,,,
45,,-0.4525,-0.5475,,,
46,,-0.4525,-0.55,,,-0.7575
47,,-0.3975,-0.5525,,,-0.7525
48,,-0.4025,-0.5475,,,-0.65
