"CLARENCE MO - CHINN FEED MILL - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,,-0.17,-0.2175,
2,,-0.1675,-0.1825,
3,,-0.15,-0.2325,
4,,-0.17,-0.2475,
5,-0.205,-0.2025,-0.2325,
6,-0.205,-0.2025,-0.2275,
7,-0.1625,-0.2375,-0.2875,-0.08
8,-0.1575,-0.245,-0.28,-0.125
9,-0.1375,-0.3225,-0.26,-0.1675
10,-0.0775,-0.3475,-0.2825,-0.1575
11,-0.1025,-0.33,-0.275,-0.2475
12,-0.0975,-0.335,-0.1963,-0.165
13,-0.144,-0.33,-0.1575,-0.165
14,-0.1525,-0.31,-0.14,-0.1775
15,-0.225,-0.26,-0.1375,-0.1975
16,-0.3675,-0.255,-0.12,-0.2625
17,-0.3975,-0.24,-0.1975,-0.29
18,-0.3,-0.3075,-0.2325,-0.2238
19,-0.25,-0.2525,-0.235,-0.205
20,-0.2025,-0.26,-0.2213,-0.22
21,-0.1975,-0.2435,-0.245,-0.205
22,-0.16,-0.2,-0.22,-0.1975
23,-0.1,-0.1525,-0.2175,
24,-0.1013,-0.145,-0.1775,
25,-0.095,-0.2525,-0.33,
26,-0.1,-0.22,-0.315,
27,-0.085,-0.1625,-0.315,-0.4925
28,-0.0775,-0.1125,-0.2975,-0.4075
29,-0.185,-0.16,-0.315,-0.41
30,-0.18,-0.1425,-0.3025,-0.4425
31,-0.2525,-0.135,-0.295,-0.4275
32,-0.2825,-0.1388,-0.2575,-0.37
33,,-0.3225,-0.41,-0.375
34,,-0.295,-0.455,-0.28
35,,-0.2975,-0.48,-0.3525
36,,-0.34,-0.48,-0.3475
37,,,-0.4825,-0.355
38,,,-0.42,-0.3275
39,,,-0.385,-0.45
40,,-0.3175,-0.33,-0.295
41,,-0.2725,-0.3025,-0.2625
42,,-0.16,-0.2825,-0.2525
43,,-0.1575,-0.2625,
44,,-0.105,-0.1913,
45,,-0.2025,-0.2875,
46,,-0.2325,-0.25,
47,,-0.2475,-0.2325,
48,,-0.2525,-0.1975,
