"CORDER MO - RAY-CARROLL GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2975,-0.3,-0.3475,
2,-0.28,-0.2975,-0.3025,
3,-0.28,-0.3,-0.3025,-0.1
4,-0.28,-0.295,-0.2975,-0.1
5,-0.28,-0.3025,-0.3025,-0.1525
6,-0.2775,-0.3025,-0.2975,-0.165
7,-0.2475,-0.2975,-0.2975,-0.1025
8,-0.2475,-0.305,-0.3,-0.105
9,-0.295,-0.3825,-0.35,-0.1525
10,-0.295,-0.3775,-0.3525,-0.1675
11,-0.3025,-0.38,-0.355,-0.15
12,-0.2475,-0.355,-0.3213,-0.175
13,-0.2475,-0.35,-0.2975,-0.2175
14,-0.2475,-0.35,-0.28,-0.1275
15,-0.2025,-0.3,-0.2775,-0.1875
16,-0.1475,-0.295,-0.25,-0.155
17,-0.224,-0.35,-0.3175,-0.175
18,-0.2025,-0.3475,-0.3225,-0.2075
19,-0.205,-0.3025,-0.315,-0.2575
20,-0.1975,-0.295,-0.3213,-0.3325
21,-0.1975,-0.2535,-0.315,-0.33
22,-0.2,-0.25,-0.32,-0.2288
23,-0.2,-0.2525,-0.3175,-0.205
24,-0.2025,-0.255,-0.2975,-0.2
25,-0.1475,-0.3025,-0.4,-0.205
26,-0.15,-0.3,-0.395,-0.2075
27,-0.1,-0.3025,-0.395,-0.2
28,-0.1013,-0.2525,-0.3975,-0.255
29,-0.095,-0.2,-0.405,-0.2525
30,-0.1,-0.2025,-0.4025,-0.26
31,-0.105,-0.245,-0.395,-0.3925
32,-0.0975,-0.2538,-0.3975,-0.4075
33,-0.105,,-0.5,-0.4
34,-0.11,,,-0.4725
35,-0.1025,,,-0.4675
36,-0.1525,,,-0.46
37,,-0.3975,-0.4825,-0.465
38,,-0.3975,-0.48,-0.45
39,,-0.4025,-0.485,-0.4525
40,,-0.375,-0.48,-0.4475
41,,-0.3225,-0.4525,-0.405
42,,-0.3,-0.4525,-0.3525
43,,-0.2975,-0.4025,-0.45
44,,-0.295,-0.3013,-0.455
45,,-0.3525,-0.3475,-0.4025
46,,-0.3525,-0.33,-0.4025
47,,-0.3475,-0.3325,
48,,-0.3025,-0.2975,
