EAST PRAIRIE MO - CONSOLIDATED GRAIN &amp; BARGE - Corn Basis,,,
"Week
",2016,2015,2014
1,0.0475,-0.0525,0.265
2,0.08,0.11,0.21
3,0.0625,0.13,0.1925
4,0.1175,0.0175,0.2363
5,0.06,0.125,0.2875
6,0.02,0.1125,0.22
7,0.0375,,0.3325
8,0.015,0.2025,0.195
9,-0.0025,0.105,0.13
10,-0.005,0.12,0.185
11,-0.0025,0.0625,0.1325
12,0.0025,0.09,0.185
13,,0.0725,0.1425
14,,0.0475,0.1475
15,,0.12,0.165
16,,0.1438,0.1675
17,,0.1225,0.12
18,,0.1175,0.145
19,,0.09,0.155
20,,0.135,0.285
21,,0.07,0.1375
22,,0.0775,0.2
23,,0.1175,0.205
24,,0.1275,0.18
25,,-0.025,0.2375
26,,0.025,0.2175
27,,0.04,
28,,-0.0125,0.155
29,,-0.0975,0.0175
30,,-0.2325,0.05
31,,-0.1525,0.155
32,,-0.1325,0.2
33,,-0.375,-0.15
34,,-0.28,-0.1175
35,,-0.3,-0.3175
36,,-0.28,-0.395
37,,-0.2475,-0.5225
38,,-0.15,-0.7525
39,,-0.13,-0.445
40,,0.05,-0.3763
41,,0.105,-0.1725
42,,0.1275,-0.0475
43,,0.1625,-0.0525
44,,0.07,0.1475
45,,0.0375,0.08
46,,0.0925,-0.0575
47,,0.1075,-0.0325
48,,-0.025,-0.095
