"HAMILTON MO - MFA RAIL FACILITY - Corn Basis"
"Week
","2019
","2018
","2017
"
1,,-0.22,
2,-0.22,-0.1975,
3,-0.22,-0.2,
4,-0.2,-0.2,
5,-0.1975,-0.2025,
6,-0.1475,-0.2025,
7,-0.1475,-0.2175,
8,-0.205,-0.225,
9,-0.145,-0.3025,
10,-0.1525,-0.2975,
11,-0.0975,-0.3,
12,,-0.295,
13,,-0.28,
14,,-0.28,
15,,-0.28,
16,-0.084,-0.175,
17,-0.0925,-0.27,
18,-0.095,-0.2575,
19,-0.1475,-0.2325,
20,,-0.22,
21,-0.1,-0.2035,
22,-0.1,-0.2,
23,-0.0025,-0.1525,
24,,-0.145,
25,,,
26,,,
27,,,
28,,,
29,,-0.2,
30,,-0.2025,
31,,-0.195,
32,-0.085,-0.2038,
33,-0.08,,
34,-0.0825,,
35,-0.1225,,
36,,,
37,,-0.4475,
38,,-0.3475,
39,,-0.3225,
40,,-0.26,
41,,-0.2025,
42,,-0.1,
43,,-0.0975,
44,,-0.045,
45,,-0.1625,
46,,-0.1625,
47,,-0.1575,
48,,-0.1625,
