"HARRISONVILLE MO - ROTH HEREFORD FARMS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1175,-0.3,-0.3475,-0.0325,-0.3525,-0.095
2,-0.12,-0.2975,-0.3525,-0.03,-0.35,-0.1
3,-0.12,-0.3,-0.3525,-0.0275,-0.35,0.1025
4,-0.12,-0.295,-0.3475,-0.0325,-0.2925,0.1013
5,-0.02,-0.2525,-0.3525,-0.03,-0.245,-0.6125
6,-0.0175,-0.2525,-0.2775,-0.03,-0.2375,0.1000
7,-0.0175,-0.2475,-0.2775,-0.0325,-0.2375,0.1025
8,-0.0175,-0.245,-0.18,-0.035,-0.2375,0.0450
9,-0.045,-0.2825,-0.25,-0.0725,-0.235,0.0000
10,-0.045,-0.2775,-0.2525,-0.065,-0.24,-0.005
11,-0.0525,-0.28,-0.255,-0.0725,-0.1975,-0.0975
12,0.0225,-0.275,-0.2813,-0.0675,-0.2,-0.095
13,0.0225,-0.25,-0.2775,0.0000,-0.1475,-0.0975
14,0.0225,-0.25,-0.28,-0.005,-0.1525,-0.1025
15,0.0175,-0.25,-0.2775,-0.0075,-0.09,-0.095
16,0.0225,-0.145,-0.28,0.0025,-0.0863,-0.0975
17,-0.044,-0.23,-0.2775,-0.0475,-0.0975,-1.3
18,-0.0225,-0.2275,-0.2825,-0.045,-0.1025,-0.095
19,-0.025,-0.2325,-0.285,-0.045,-0.1,-0.095
20,0.0025,-0.125,-0.2513,-0.0475,-0.095,-0.095
21,-0.6075,-0.1335,-0.245,-0.0475,-0.11,-0.1025
22,-0.6,-0.13,-0.25,-0.0525,-0.0725,-0.1
23,0.0500,0.0275,-0.2475,-0.15,-0.0725,-0.095
24,0.0475,0.0650,-0.2475,-0.1488,-0.0625,0.0500
25,0.1525,-0.0025,-0.25,-0.145,-0.075,0.1375
26,0.1500,0.0000,-0.255,-0.15,-0.035,0.0975
27,0.1500,-0.0025,-0.245,-0.205,-0.15,0.0975
28,0.1988,0.0475,-0.2475,-0.1975,-0.1475,0.1050
29,0.1550,0.0500,-0.255,-0.25,-0.1475,0.0975
30,0.1500,-0.0525,-0.2525,-0.295,-0.1025,0.0800
31,0.1450,-0.045,-0.255,-0.3025,-0.1025,-0.195
32,0.1525,-0.0938,-0.2425,-0.295,-0.2125,-0.3
33,-0.005,-0.3025,-0.4,-0.3925,-0.255,-0.4
34,-0.2,-0.375,-0.395,-0.3975,-0.25,-0.3975
35,-0.2025,-0.4475,-0.4,-0.6,-0.28,-0.5475
36,-0.2025,-0.45,-0.47,-0.7025,-0.25,-0.645
37,,-0.4475,-0.5025,-0.6975,-0.2475,-0.8525
38,,-0.4975,-0.5,-0.74,-0.25,-0.9025
39,,-0.5025,-0.505,-0.745,-0.2,-0.945
40,,-0.425,-0.5,-0.55,-0.05,-0.9513
41,,-0.1525,-0.5025,-0.4525,-0.065,-0.9525
42,,-0.15,-0.5025,-0.4475,-0.0525,-0.4975
43,,-0.0975,-0.5025,-0.455,-0.0475,-0.5025
44,,-0.105,-0.4513,-0.3975,-0.05,-0.5025
45,,-0.1225,-0.5475,-0.35,-0.1225,-0.5
46,,-0.1225,-0.55,-0.355,-0.1075,-0.4975
47,,-0.1175,-0.4525,-0.3525,-0.0725,-0.4525
48,,-0.1225,-0.4475,-0.3525,-0.3125,-0.3525
