"HARRISONVILLE MO - SCOULAR - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0975,-0.3,-0.2475,0.0575,-0.3525,
2,-0.1,-0.2475,-0.2525,0.0500,-0.3,
3,-0.1,-0.25,-0.2525,0.0525,-0.3,
4,-0.1,-0.22,-0.2475,0.0475,-0.3025,
5,-0.05,-0.2025,-0.2025,0.0500,-0.195,
6,-0.0575,-0.2025,-0.1975,0.0500,-0.1975,
7,-0.0475,-0.1975,-0.1975,0.0475,-0.1975,
8,0.0025,-0.155,-0.2,0.0550,-0.1975,
9,-0.045,-0.2325,-0.24,-0.0025,-0.175,
10,-0.045,-0.1975,-0.2025,0.0050,-0.15,
11,-0.0425,-0.2,-0.195,-0.0025,-0.1475,0.0975
12,-0.0075,-0.195,-0.2463,0.0025,-0.12,0.1000
13,0.0025,-0.2,-0.2475,0.0200,-0.0975,0.1050
14,0.0025,-0.2,-0.25,0.0250,-0.0525,0.1000
15,0.0475,-0.15,-0.2475,0.0525,-0.05,0.1875
16,0.0525,-0.095,-0.2,0.0025,-0.0263,0.1475
17,-0.034,-0.2,-0.2675,-0.0475,-0.0475,0.1475
18,-0.0025,-0.2075,-0.2725,-0.045,-0.0525,0.1050
19,0.0050,-0.1025,-0.245,-0.045,-0.05,0.0475
20,0.0525,-0.095,-0.2013,-0.0475,-0.045,0.0500
21,0.0525,-0.1035,-0.195,-0.0475,0.0000,-0.195
22,0.0500,-0.05,-0.2,-0.0525,-0.0025,-0.2
23,0.0500,-0.0025,-0.1975,-0.07,-0.0025,-0.3
24,0.1475,0.0550,-0.1575,-0.0588,0.0075,-0.3475
25,0.1025,0.0975,-0.25,-0.095,-0.045,-0.5475
26,0.1000,0.1000,-0.295,-0.15,-0.065,-0.545
27,0.1000,0.0975,-0.195,-0.145,-0.14,-0.7125
28,0.1988,0.0975,-0.1975,-0.1975,-0.1475,-0.7525
29,0.1550,0.0700,-0.195,-0.2,-0.0975,-0.755
30,0.1500,0.0475,0.0975,-0.215,-0.0525,-0.7513
31,0.1550,-0.005,-0.195,-0.2225,-0.0525,-0.5025
32,0.1525,-0.1988,-0.1675,-0.215,-0.1625,-0.4475
33,-0.145,-0.2525,-0.3,-0.2725,-0.155,-0.4025
34,-0.15,-0.245,-0.295,-0.2975,-0.15,-0.3125
35,-0.1525,-0.2475,-0.35,-0.48,-0.18,-0.4
36,-0.1525,-0.25,-0.35,-0.6025,-0.125,-0.3975
37,,-0.3475,-0.4025,-0.5975,-0.1475,-0.3525
38,,-0.2975,-0.38,-0.59,-0.1,-0.355
39,,-0.2525,-0.375,-0.545,-0.1,
40,,-0.175,-0.35,-0.5,0.0500,
41,,-0.1525,-0.3225,-0.3525,0.0350,
42,,-0.05,-0.3225,-0.3475,0.0475,
43,,-0.0475,-0.3025,-0.345,0.0525,
44,,-0.045,-0.2513,-0.2375,0.0500,
45,,-0.1525,-0.3475,-0.25,-0.0025,
46,,-0.1525,-0.35,-0.245,0.0025,
47,,-0.1475,-0.3025,-0.2525,0.0075,
48,,-0.1025,-0.2975,-0.2525,0.0625,
