"HAWK POINT MO - ROSE ACRES-HAWK POINT - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4975,-0.31,-0.2575,-0.0025,-0.3525,-0.245
2,-0.5,-0.3175,-0.2525,0.0000,-0.25,-0.25
3,-0.25,-0.31,-0.2525,-0.0075,-0.2,-0.2575
4,-0.215,-0.315,-0.2575,-0.0025,-0.2025,-0.2538
5,-0.1,-0.3125,-0.2525,0.0000,-0.205,-0.3125
6,-0.0975,-0.1525,-0.2575,0.0000,-0.1975,-0.35
7,-0.1075,-0.1575,-0.2575,-0.1025,-0.1975,-0.3575
8,-0.2075,-0.175,-0.25,-0.165,-0.2075,-0.205
9,-0.325,-0.2525,-0.17,-0.1525,-0.285,-0.2
10,-0.305,-0.2575,-0.1025,-0.105,-0.25,
11,-0.3025,-0.25,-0.105,-0.1525,-0.2575,-0.2575
12,-0.3075,-0.195,-0.1063,-0.1475,-0.25,-0.255
13,-0.3075,-0.2,-0.0975,-0.15,,-0.2575
14,-0.3175,-0.2,0.0800,-0.155,-0.2025,-0.2525
15,-0.3025,-0.2,-0.0575,-0.1675,-0.2,-0.255
16,-0.2975,-0.205,-0.05,-0.1575,-0.1763,-0.2275
17,-0.384,-0.2,-0.1175,-0.1575,-0.1575,-0.2
18,-0.2025,-0.3075,-0.1225,-0.255,-0.1525,-0.205
19,-0.205,-0.3025,-0.125,-0.305,-0.15,-0.105
20,-0.1525,-0.305,-0.1213,-0.3075,-0.155,-0.005
21,-0.2475,-0.3035,-0.125,-0.4075,,0.0475
22,-0.28,-0.31,-0.12,-0.5025,-0.1525,0.2000
23,-0.26,-0.3125,-0.1175,-0.5,-0.1525,0.0950
24,-0.2925,-0.305,-0.1275,-0.4788,-0.1525,-0.05
25,-0.3575,-0.3025,-0.25,-0.405,-0.345,0.0375
26,-0.35,-0.23,-0.255,-0.4,-0.315,-0.0025
27,-0.35,-0.3025,-0.255,-0.405,-0.25,-0.0525
28,-0.3513,-0.3025,-0.2575,-0.4075,0.0475,-0.055
29,-0.355,-0.35,,-0.4,0.1425,-0.0525
30,-0.41,-0.3525,-0.2525,,0.1975,-0.05
31,-0.415,-0.355,-0.355,-0.3025,0.1975,-0.225
32,-0.4675,-0.2788,-0.35,-0.305,-0.0225,-0.11
33,-0.545,-0.3525,-0.52,-0.4125,-0.135,-0.15
34,-0.55,-0.355,-0.275,-0.2575,-0.15,-0.0075
35,-0.5525,-0.3575,-0.3,-0.25,,0.0425
36,-0.5525,-0.36,-0.52,-0.2525,-0.305,-0.405
37,,-0.4275,-0.6125,-0.3075,-0.3075,-0.5525
38,,-0.5075,-0.61,-0.29,-0.31,-0.6525
39,,,-0.615,-0.405,-0.31,-0.705
40,,-0.505,-0.61,-0.4,-0.3,-0.7263
41,,-0.5025,-0.6125,-0.4025,-0.175,-0.6025
42,,-0.5,-0.6125,-0.4075,0.0975,-0.6075
43,,-0.4975,-0.6125,-0.405,0.1925,-0.5525
44,,-0.505,-0.6263,-0.4075,0.2000,-0.5525
45,,-0.5025,-0.5475,-0.33,0.0975,-0.54
46,,-0.5025,-0.41,-0.255,0.0025,
47,,-0.5075,-0.4125,-0.2525,-0.0525,-0.4525
48,,-0.5025,-0.4175,-0.2525,-0.0275,-0.4525
