"HIGGINSVILLE MO - RIVER VALLEY AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2775,-0.3,-0.3475,-0.1025,-0.4525,
2,-0.28,-0.2975,-0.3025,-0.1,-0.45,
3,-0.28,-0.3,-0.3025,-0.0975,-0.39,
4,-0.28,-0.295,-0.2975,-0.1025,-0.3025,
5,,-0.3025,-0.3025,-0.1,-0.315,-0.15
6,,-0.3025,-0.2975,-0.1,-0.2975,-0.155
7,,-0.2975,-0.2975,-0.1525,-0.2975,-0.1475
8,,-0.295,-0.3,-0.155,-0.2975,-0.095
9,,-0.3525,-0.35,-0.1525,-0.345,-0.0975
10,,-0.3775,-0.3525,-0.145,-0.35,-0.1825
11,,-0.38,-0.355,-0.1525,-0.2975,-0.155
12,,-0.385,-0.3463,-0.1725,-0.3,-0.155
13,-0.1975,-0.35,-0.3475,-0.2,-0.2475,-0.25
14,-0.1975,-0.35,-0.33,-0.205,-0.2525,-0.205
15,-0.1525,-0.3,-0.3275,-0.2575,-0.25,-0.155
16,-0.1475,-0.295,-0.3,-0.2175,-0.2463,-0.095
17,-0.234,-0.35,-0.3475,-0.2275,-0.2475,-0.0525
18,,-0.3475,-0.3525,-0.205,-0.2225,-0.05
19,,-0.3225,-0.355,-0.205,-0.2,-0.045
20,,-0.315,-0.3213,-0.2475,-0.205,-0.1
21,-0.1475,,-0.315,-0.2975,-0.21,
22,-0.15,,-0.32,-0.3825,-0.2025,
23,-0.15,,-0.3175,-0.38,-0.2025,
24,-0.1525,,-0.3175,-0.2988,-0.2025,
25,,-0.3425,-0.4,-0.245,-0.355,
26,,-0.34,-0.395,-0.25,-0.265,
27,,,-0.395,-0.245,-0.35,
28,,,-0.3975,-0.2475,-0.3225,
29,-0.045,,-0.405,-0.25,-0.2975,
30,-0.05,-0.2025,-0.4025,-0.245,-0.3025,
31,-0.045,-0.195,-0.395,-0.3025,-0.2525,
32,-0.0475,-0.2538,-0.3975,-0.295,-0.3625,
33,-0.165,,-0.5,,-0.295,-0.6525
34,-0.16,,,,-0.35,-0.6525
35,-0.3025,,,,-0.38,-0.645
36,-0.3025,,,,,-0.5813
37,,,-0.4825,-0.4675,-0.2975,-0.6025
38,,,-0.48,-0.46,-0.25,-0.5875
39,,,-0.485,-0.465,-0.15,-0.5525
40,,-0.3175,-0.48,-0.45,-0.15,-0.4525
41,,-0.3225,-0.4525,-0.4525,-0.065,-0.44
42,,-0.32,-0.4525,-0.4475,-0.0525,-0.3975
43,,-0.2975,-0.4525,-0.405,-0.0475,-0.4025
44,,-0.295,-0.3263,-0.3475,-0.05,-0.4075
45,,-0.3325,-0.3975,-0.45,-0.1025,
46,,-0.3325,-0.38,-0.455,-0.0875,
47,,-0.3275,-0.3525,-0.4525,-0.1025,
48,,-0.3325,-0.2975,-0.4025,-0.1025,
