"HOLDEN MO - HEIMAN GRAIN INC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3875,-0.53,-0.4075,-0.0925,-0.4825,-0.215
2,-0.4,-0.5175,-0.4325,-0.11,-0.51,-0.22
3,-0.33,-0.52,-0.4325,-0.1675,-0.48,-0.2075
4,-0.315,-0.455,-0.4675,-0.1425,-0.4825,-0.1788
5,-0.32,-0.4325,-0.4625,-0.17,-0.475,-0.1425
6,-0.1875,-0.4725,-0.4375,-0.16,-0.4775,-0.17
7,-0.1475,-0.4575,-0.4375,-0.1925,-0.4775,-0.1875
8,-0.1375,-0.395,-0.43,-0.145,-0.4775,-0.175
9,-0.235,-0.4825,-0.47,-0.1825,-0.445,-0.29
10,-0.205,-0.4575,-0.4825,-0.175,-0.42,-0.175
11,-0.2125,-0.4,-0.465,-0.2325,-0.3575,-0.1875
12,-0.2275,-0.405,-0.4463,-0.2275,-0.39,-0.165
13,-0.2475,-0.42,-0.4475,-0.17,-0.3875,-0.1375
14,-0.2475,-0.49,-0.39,-0.175,-0.3625,-0.1225
15,-0.2425,-0.25,-0.3675,-0.2175,-0.32,-0.075
16,-0.2475,-0.245,-0.37,-0.1875,-0.2063,-0.4225
17,-0.344,-0.35,-0.3675,-0.2175,-0.1775,-0.42
18,-0.2725,-0.3175,-0.3025,-0.125,-0.2225,-0.325
19,-0.395,-0.2825,-0.295,-0.215,-0.3,-0.255
20,-0.2875,-0.285,-0.3363,-0.2175,-0.345,-0.215
21,-0.3175,-0.2735,-0.345,-0.2575,-0.29,-0.1825
22,-0.32,-0.28,-0.35,-0.3325,-0.3225,-0.24
23,-0.32,-0.2725,-0.3675,-0.29,-0.4425,-0.215
24,-0.2725,-0.075,-0.3575,-0.2538,-0.2525,-0.22
25,-0.3375,-0.2225,,-0.325,-0.425,-0.0725
26,-0.29,-0.22,-0.465,-0.31,-0.425,0.0575
27,-0.37,-0.1225,-0.465,-0.305,-0.39,-0.0125
28,-0.2513,,-0.4475,-0.2975,-0.2775,-0.29
29,-0.135,-0.08,-0.435,-0.3,-0.3275,-0.4125
30,-0.14,-0.0825,-0.4525,-0.335,-0.3225,-0.5
31,-0.135,-0.105,-0.425,-0.3325,-0.3225,-0.515
32,0.0225,-0.0388,-0.4225,-0.31,-0.4325,-0.49
33,-0.065,-0.2625,-0.56,-0.4125,-0.375,-0.4
34,-0.07,-0.225,-0.535,-0.4275,-0.34,
35,-0.2025,-0.3275,-0.46,-0.45,-0.43,-0.4575
36,-0.1925,-0.39,-0.48,-0.5425,-0.4,-0.655
37,,-0.4175,-0.4525,-0.6975,-0.3975,-0.7525
38,,-0.4275,-0.47,-0.7,-0.37,-0.7725
39,,-0.4425,-0.455,-0.705,-0.36,-0.825
40,,-0.425,-0.43,-0.69,-0.39,-0.8413
41,,-0.3725,-0.5125,-0.6825,-0.415,-0.8025
42,,-0.38,-0.5125,-0.6175,-0.3225,-0.7875
43,,-0.3675,-0.5225,-0.605,-0.2975,-0.6325
44,,-0.315,-0.4813,-0.5725,-0.35,-0.6325
45,,-0.4125,-0.5475,-0.53,-0.3225,-0.69
46,,-0.4125,-0.52,-0.465,-0.2275,-0.6275
47,,-0.4075,-0.5125,-0.4525,-0.2325,-0.6625
48,,-0.3925,-0.5275,-0.4525,-0.1775,-0.5575
