"JASPER MO - JASPER GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0275,-0.1,-0.2075,0.0475,,0.1150
2,0.0300,-0.0575,-0.2125,0.0200,-0.23,0.1100
3,0.0600,-0.04,-0.2025,0.0125,,0.1225
4,0.0450,-0.035,-0.2375,0.0275,-0.185,0.1213
5,0.0200,-0.0525,-0.2525,-0.34,-0.1775,
6,0.0925,-0.0625,-0.2075,0.0700,-0.2175,0.0700
7,0.1025,-0.1275,-0.2175,0.0275,-0.0975,0.0625
8,0.1025,-0.135,-0.2,0.0550,,0.0750
9,-0.005,-0.2225,-0.22,0.0575,-0.24,-0.21
10,0.1650,-0.1875,-0.2225,0.0550,,-0.025
11,0.1675,-0.18,-0.215,0.0475,-0.23,
12,0.1625,-0.175,-0.2413,0.0600,-0.2375,0.0250
13,0.1825,-0.19,-0.2275,0.0400,-0.2025,0.0225
14,0.2725,-0.18,-0.24,0.0450,-0.19,
15,0.2475,-0.14,-0.2475,-0.0075,0.0287,
16,0.2425,-0.115,-0.25,0.0025,-0.0475,0.1125
17,0.1560,-0.11,-0.2975,-0.0675,-0.0525,0.0800
18,0.1375,-0.1075,-0.2425,-0.135,-0.05,
19,0.1450,-0.1025,-0.215,-0.165,0.0450,0.2050
20,0.2325,-0.11,-0.2063,-0.1675,,0.2050
21,0.0525,-0.0435,-0.165,-0.1575,0.0175,0.2075
22,0.0200,-0.01,-0.23,-0.2125,0.0275,0.2700
23,-0.01,0.0075,-0.1275,-0.2,0.0875,0.2950
24,-0.0925,-0.005,-0.1075,-0.1888,0.0250,0.4200
25,-0.0375,-0.0925,-0.25,-0.195,-0.055,
26,0.1700,0.0700,-0.235,-0.1,,0.2875
27,0.1900,0.1275,-0.195,,-0.0475,0.1575
28,0.1837,0.1075,-0.1975,-0.0275,-0.1275,0.0900
29,0.2250,0.0800,-0.165,-0.25,-0.0525,0.0375
30,-0.04,0.0875,-0.1925,-0.265,-0.2525,
31,0.3750,0.1050,-0.155,-0.2525,-0.3325,-0.095
32,0.2525,0.0113,-0.1925,-0.295,-0.275,-0.26
33,0.0150,-0.0825,-0.37,,-0.26,
34,0.0500,-0.055,-0.295,-0.4475,-0.23,-0.4575
35,0.0875,0.0125,-0.32,-0.46,-0.18,-0.4975
36,0.1075,,-0.3,,-0.1875,-0.505
37,,-0.0675,-0.2725,-0.4775,-0.19,-0.7225
38,,-0.0675,-0.27,-0.46,,-0.7225
39,,-0.0925,-0.255,-0.475,-0.12,-0.715
40,,-0.15,-0.26,-0.47,,-0.6813
41,,-0.0425,-0.2825,-0.4425,-0.0125,-0.6025
42,,0.0400,-0.1625,-0.4075,0.0325,-0.4775
43,,0.0625,-0.1625,-0.285,0.0200,
44,,0.0750,-0.1613,-0.2325,0.0275,0.6175
45,,-0.0225,-0.1775,-0.35,0.0725,
46,,-0.0225,-0.15,-0.315,0.0375,
47,,-0.0375,-0.1325,-0.2525,0.0450,-0.3825
48,,-0.0225,-0.1375,-0.2025,,
