"JASPER MO - MANEVAL INC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0975,-0.15,-0.3075,0.2075,-0.1825,0.2450
2,-0.1,-0.1475,-0.2925,0.1000,-0.31,0.1400
3,-0.1,-0.15,-0.2925,0.0225,-0.28,0.2425
4,-0.1,-0.145,-0.2975,0.0275,-0.2325,0.1063
5,0.0000,-0.2025,-0.2325,0.0000,-0.235,0.0875
6,0.0025,-0.2025,-0.1975,0.0100,-0.2275,0.0000
7,0.0025,-0.1975,-0.1875,0.0075,-0.0475,-0.0375
8,0.0025,-0.205,-0.19,-0.005,0.0025,-0.055
9,0.1550,-0.2025,-0.26,0.0575,-0.195,-0.04
10,0.1450,-0.1975,-0.3025,0.0550,0.0000,-0.025
11,0.1475,-0.2,-0.305,0.0575,-0.2175,-0.0275
12,0.1525,-0.205,-0.2963,0.0525,0.0100,0.0250
13,0.2525,-0.2,-0.3975,0.0000,-0.0175,-0.0575
14,0.2525,-0.2,-0.4,0.0050,0.0575,0.0275
15,0.2475,-0.2,-0.3975,-0.0275,0.0500,0.1250
16,0.2525,-0.195,-0.4,-0.0175,0.0537,0.0975
17,0.2660,-0.15,-0.2975,-0.1975,0.0025,0.0600
18,0.2575,-0.1475,-0.3025,-0.195,0.0075,0.1250
19,0.2650,-0.1525,-0.295,-0.195,0.0000,0.5050
20,0.2625,-0.145,-0.2513,-0.1975,0.0050,0.2250
21,-0.1475,-0.1035,-0.195,-0.1975,0.0300,0.2175
22,-0.15,-0.1,-0.2,-0.1925,0.1475,0.2400
23,-0.15,-0.1025,-0.1975,-0.2,0.1475,0.3850
24,-0.1525,-0.105,-0.1975,-0.1938,0.1475,0.5900
25,0.0025,-0.0325,-0.2,-0.095,-0.215,0.4275
26,0.0000,-0.03,-0.205,-0.1,-0.205,0.2875
27,0.0000,-0.0325,-0.195,-0.105,-0.12,0.3175
28,-0.0013,-0.0325,-0.1975,-0.0975,-0.1825,0.1150
29,-0.295,0.1000,-0.205,-0.04,0.0025,0.0175
30,-0.3,-0.1325,-0.2025,-0.245,-0.0225,0.0300
31,-0.295,-0.125,-0.205,-0.2425,-0.2925,-0.045
32,-0.2975,-0.0037,-0.2525,-0.3,-0.4125,-0.38
33,0.1050,-0.0025,-0.3,-0.3825,-0.245,-0.4
34,0.1000,-0.005,-0.295,-0.3975,-0.25,-0.4575
35,0.0975,-0.0975,-0.15,-0.4,-0.18,-0.5175
36,0.0975,-0.1,-0.15,-0.4525,-0.145,-0.545
37,,-0.0975,-0.3025,-0.4775,-0.0975,-0.6125
38,,-0.0975,-0.3,-0.39,-0.1,-0.7525
39,,-0.1025,-0.295,-0.495,-0.13,-0.875
40,,-0.05,-0.3,-0.5,0.0500,-0.7113
41,,-0.0025,-0.2025,-0.2425,-0.075,-0.6025
42,,0.0000,-0.2025,-0.2475,0.0575,-0.3775
43,,0.0025,-0.2025,-0.245,0.2825,-0.4425
44,,-0.005,-0.2013,-0.2475,0.0500,-0.0825
45,,-0.0525,-0.0975,-0.2,0.1775,-0.42
46,,-0.0525,-0.1,-0.195,0.1825,-0.3875
47,,-0.0475,-0.1025,-0.1925,0.1775,-0.1625
48,,-0.0525,-0.0975,-0.2025,0.1725,-0.2775
