"KANSAS CITY MO - BARTLETT GRAIN CO LP KANSAS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0375,-0.15,-0.1275,
2,-0.04,-0.1175,-0.1525,
3,-0.04,-0.13,-0.1525,
4,-0.03,-0.145,-0.1475,
5,-0.02,-0.1525,-0.1525,
6,0.0225,-0.1525,-0.1775,
7,0.0525,-0.1475,-0.1775,0.0000
8,0.0525,-0.135,-0.18,-0.005
9,0.0050,-0.1825,-0.21,-0.0475
10,-0.005,-0.1775,-0.2225,-0.0375
11,0.0275,-0.16,-0.225,-0.0675
12,0.0225,-0.155,-0.1763,-0.025
13,0.0725,-0.14,-0.1475,-0.055
14,0.1025,-0.14,-0.15,-0.0675
15,0.1375,-0.1,-0.1475,-0.0975
16,0.1325,-0.055,-0.1,-0.1225
17,0.0960,-0.14,-0.1475,-0.12
18,0.0875,-0.1475,-0.1525,-0.0888
19,0.0950,-0.1025,-0.145,-0.135
20,-0.0275,-0.095,-0.1263,-0.07
21,-0.0175,-0.0635,-0.145,-0.105
22,0.0000,-0.07,-0.15,-0.0975
23,0.0300,-0.0025,-0.1475,-0.1
24,0.1475,-0.005,-0.1475,-0.105
25,0.1525,-0.0825,,-0.1325
26,0.1500,0.0300,-0.255,-0.175
27,0.2000,0.0775,-0.255,-0.2825
28,0.1988,0.0475,-0.2475,-0.2875
29,0.1150,-0.04,-0.205,-0.29
30,0.1200,-0.0425,-0.1925,-0.3325
31,0.1150,-0.115,-0.185,-0.3975
32,0.2025,-0.1288,-0.1525,-0.39
33,0.1050,-0.2825,-0.31,-0.395
34,0.1000,-0.305,-0.285,-0.35
35,0.0375,-0.3975,-0.3,-0.3325
36,-0.0525,-0.45,-0.34,-0.2775
37,,-0.5075,-0.3825,-0.205
38,,-0.2475,-0.4,-0.1125
39,,-0.2025,-0.405,-0.18
40,,-0.135,-0.35,-0.185
41,,-0.0525,-0.3525,-0.1525
42,,0.0000,-0.3225,-0.1525
43,,0.0025,-0.2225,
44,,0.0350,-0.1213,
45,,-0.0825,-0.1975,
46,,-0.0825,-0.15,
47,,-0.0875,-0.1525,
48,,-0.0825,-0.1475,
