"KNOB NOSTER MO - ROSE ACRES-KNOB NOSTER - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1975,-0.2,-0.1075,-0.0025,-0.4025,0.0450
2,-0.05,-0.1075,-0.1025,0.0000,-0.1,0.0500
3,0.0000,-0.1,-0.1025,-0.0075,-0.2,0.0425
4,-0.005,-0.155,-0.1575,-0.0025,-0.3025,0.0462
5,0.0500,-0.2025,-0.1525,0.0000,-0.305,0.0375
6,0.1025,-0.2025,-0.1575,0.0000,-0.2975,0.0000
7,0.0925,-0.2075,-0.1575,-0.0025,-0.2975,0.0425
8,0.0925,-0.225,-0.15,-0.005,-0.3075,-0.005
9,-0.025,-0.3025,-0.22,-0.0025,-0.385,0.0000
10,-0.005,-0.3075,-0.1525,-0.005,-0.3,
11,-0.0025,-0.3,-0.155,-0.0025,-0.3075,0.0425
12,-0.0075,-0.295,-0.1563,0.0025,-0.25,0.0450
13,-0.0075,-0.3,-0.1475,0.0000,,0.0425
14,-0.0175,-0.3,-0.15,-0.005,-0.2025,0.0475
15,0.1475,-0.3,-0.2075,-0.0675,-0.2,0.0450
16,0.1425,-0.305,-0.2,-0.1575,-0.1513,0.0225
17,0.0660,-0.3,-0.3275,-0.1575,0.0425,-0.1
18,0.1475,-0.3075,-0.3225,-0.205,-0.0025,-0.105
19,0.1450,-0.3025,-0.325,-0.205,0.0000,-0.105
20,-0.0075,-0.23,-0.3213,-0.2075,-0.005,-0.005
21,-0.1075,-0.1535,-0.325,-0.2575,,0.0475
22,-0.13,-0.16,-0.32,-0.2525,-0.0525,0.1500
23,-0.11,-0.1625,-0.3175,-0.25,-0.0525,0.1450
24,0.0575,-0.155,-0.3275,-0.1538,-0.1525,0.0500
25,-0.0075,-0.1025,-0.46,-0.055,-0.345,0.1375
26,0.0000,-0.03,-0.255,-0.2,-0.315,0.0475
27,0.2000,-0.0025,-0.255,-0.205,-0.3,-0.1025
28,0.2488,-0.0025,-0.2575,-0.2075,-0.1775,-0.105
29,0.2950,0.0000,,-0.2,-0.1575,-0.1025
30,0.3000,-0.0025,-0.2525,,-0.1525,-0.1
31,0.2950,-0.005,-0.255,-0.2025,-0.0525,-0.225
32,0.2825,-0.0288,-0.25,-0.205,-0.1725,-0.21
33,0.2050,-0.0525,-0.42,-0.3125,-0.185,-0.2
34,0.0500,-0.055,-0.275,-0.2075,-0.15,-0.1075
35,-0.2025,-0.0575,-0.25,-0.25,,-0.1075
36,-0.2025,-0.06,-0.25,-0.2525,-0.105,-0.455
37,,-0.2075,-0.4025,-0.3075,-0.1075,-0.5525
38,,-0.2075,-0.4,-0.29,-0.06,-0.6025
39,,,-0.405,-0.305,-0.11,-0.605
40,,-0.355,-0.4,-0.35,-0.05,-0.6013
41,,-0.3025,-0.3525,-0.3525,-0.025,-0.5525
42,,-0.31,-0.3525,-0.2575,0.2475,-0.5575
43,,-0.2975,-0.3525,-0.205,0.1925,-0.5525
44,,-0.305,-0.3663,-0.2075,0.2000,-0.5025
45,,-0.3025,-0.4875,-0.18,0.1975,-0.49
46,,-0.3025,-0.2,-0.185,0.1025,
47,,-0.3075,-0.2025,-0.1925,-0.0025,-0.6525
48,,-0.2025,-0.2075,-0.1925,-0.0025,-0.6525
