"LACLEDE MO - ADM QUINCY - Corn Basis"
"Week
","2016
","2015
","2014
"
1,-0.2625,-0.5525,-0.115
2,-0.28,-0.55,-0.15
3,-0.2775,,-0.2075
4,-0.3025,-0.4425,-0.2088
5,-0.32,-0.455,-0.1325
6,-0.32,-0.3975,-0.21
7,-0.3225,-0.3875,-0.2475
8,-0.325,-0.4075,-0.265
9,,-0.455,-0.35
10,-0.335,-0.45,-0.355
11,,-0.4175,-0.4075
12,,-0.42,-0.385
13,,-0.3975,-0.3475
14,,-0.3525,-0.3825
15,,-0.33,-0.345
16,,-0.2663,-0.2925
17,,-0.2875,-0.38
18,,-0.2425,-0.355
19,,-0.25,-0.285
20,,-0.305,-0.185
21,,-0.28,-0.1325
22,,-0.3125,-0.13
23,,-0.2825,-0.135
24,,-0.3125,-0.05
25,,-0.445,0.0575
26,,-0.435,-0.1125
27,,-0.41,-0.1825
28,,-0.3725,-0.14
29,,-0.3275,-0.1725
30,,-0.4325,-0.23
31,,-0.4125,-0.365
32,,-0.5325,-0.16
33,,,-0.28
34,,-0.54,-0.5175
35,,-0.6,-0.5675
36,,-0.505,-0.535
37,,-0.4475,-0.7525
38,,-0.42,-0.8525
39,,-0.42,-0.855
40,,-0.35,-0.8513
41,,-0.415,-0.8025
42,,-0.4525,-0.6475
43,,-0.4475,-0.6525
44,,-0.45,-0.5525
45,,-0.3725,-0.55
46,,-0.3475,-0.6275
47,,-0.3225,-0.6325
48,,-0.2775,-0.6075
