"MARYVILLE MO - CONSUMERS OIL COMPANY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3575,-0.49,-0.4775,-0.3025,-0.4625,-0.275
2,-0.36,,-0.4825,-0.32,-0.47,-0.25
3,-0.36,-0.45,-0.4625,-0.3175,-0.47,-0.2475
4,-0.36,-0.435,-0.4575,-0.3225,-0.4525,-0.2488
5,-0.32,-0.4325,-0.4625,-0.34,-0.445,-0.1925
6,,-0.4425,-0.4975,-0.32,-0.3475,-0.25
7,-0.3175,-0.4375,-0.5075,-0.3225,-0.3475,-0.2875
8,-0.3175,-0.435,-0.51,-0.335,-0.3075,-0.315
9,-0.365,-0.5125,-0.58,-0.3525,-0.365,-0.43
10,-0.365,-0.5275,-0.5725,-0.355,-0.36,-0.455
11,-0.3725,,-0.575,-0.3425,-0.3575,-0.4575
12,-0.3775,-0.495,-0.5213,-0.3475,-0.35,-0.455
13,-0.3575,-0.46,-0.4975,-0.33,-0.3275,-0.4175
14,-0.3575,-0.46,-0.48,-0.335,-0.3325,-0.4225
15,-0.3625,-0.43,-0.4575,-0.4075,-0.33,-0.415
16,-0.3475,-0.425,-0.42,-0.3775,-0.2763,-0.3625
17,-0.344,-0.47,-0.4575,-0.4575,-0.2775,-0.38
18,,-0.4775,-0.4625,-0.465,-0.2625,-0.375
19,-0.345,-0.4725,-0.445,-0.475,-0.26,-0.355
20,-0.3725,-0.435,-0.4425,-0.4675,-0.255,-0.315
21,-0.4075,-0.4035,-0.495,-0.4575,-0.26,-0.2225
22,-0.41,,-0.53,-0.4625,-0.2725,-0.24
23,-0.41,-0.4025,-0.4875,-0.48,-0.2725,-0.205
24,-0.3325,-0.395,-0.4975,-0.4538,-0.2825,-0.21
25,-0.3375,-0.3925,,-0.455,-0.485,-0.1625
26,,-0.27,-0.625,,,-0.2025
27,-0.19,-0.3725,-0.625,-0.425,,-0.2825
28,-0.1913,-0.3025,,-0.4175,-0.4225,-0.3
29,-0.275,-0.3,-0.585,-0.41,-0.3975,-0.3025
30,-0.25,-0.2925,-0.5825,-0.435,-0.3625,-0.26
31,-0.245,-0.195,-0.565,-0.4725,-0.3625,-0.255
32,-0.2475,-0.2788,-0.5025,-0.44,-0.4325,-0.24
33,-0.355,-1.0925,-0.63,-0.5225,-0.425,-0.38
34,-0.29,-0.315,-0.625,-0.5475,-0.45,-0.5275
35,-0.3525,-0.3575,-0.63,-0.59,-0.53,-0.4975
36,-0.4425,-0.57,-0.66,-0.5925,-0.49,-0.695
37,,-0.5775,-0.6325,-0.6475,-0.4975,-0.7725
38,,-0.5975,-0.59,-0.64,-0.51,-0.9125
39,,,-0.595,-0.595,-0.48,-0.855
40,,-0.4275,-0.6,-0.6,-0.45,-0.8263
41,,-0.4325,-0.6325,-0.5925,-0.405,-0.9525
42,,-0.39,,,-0.3425,-0.7975
43,,-0.3875,-0.5425,,-0.2675,-0.7025
44,,-0.345,-0.4,-0.4825,-0.28,-0.6525
45,,-0.3825,-0.5175,-0.51,-0.3525,-0.7
46,,-0.3825,-0.52,-0.505,-0.3375,-0.6475
47,,-0.3775,-0.5025,-0.5025,-0.3525,-0.5525
48,,,-0.4975,-0.5025,-0.3425,-0.5525
