"MONTGOMERY CITY MO - ADM MONTGOMERY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.1975,-0.22,-0.1675,
2,-0.22,-0.1575,-0.1825,
3,-0.22,-0.25,-0.2525,
4,-0.11,-0.145,-0.1775,
5,-0.13,-0.1825,-0.1825,
6,-0.1275,-0.2125,-0.1775,
7,-0.1475,-0.2175,-0.1675,-0.15
8,-0.1475,-0.205,-0.17,-0.085
9,-0.205,-0.2725,-0.22,-0.1175
10,-0.205,-0.2375,-0.2325,-0.0975
11,-0.1725,-0.39,-0.245,-0.1275
12,-0.1675,-0.435,-0.2513,-0.175
13,-0.1675,-0.32,-0.2875,-0.245
14,-0.1475,-0.35,-0.25,-0.2475
15,-0.1025,-0.31,-0.2275,-0.2175
16,-0.0975,-0.305,-0.21,-0.1625
17,-0.104,-0.3,-0.2975,-0.19
18,-0.1625,-0.2875,-0.3025,-0.1188
19,-0.175,-0.2525,-0.295,-0.145
20,-0.1625,-0.25,-0.3063,-0.07
21,-0.1975,-0.2535,-0.395,-0.025
22,-0.25,-0.25,-0.33,-0.0475
23,-0.15,-0.2025,-0.2975,-0.19
24,-0.1525,-0.205,-0.3575,-0.055
25,-0.1475,-0.2725,-0.4,-0.1925
26,-0.1,-0.27,-0.415,-0.225
27,-0.1,-0.2725,-0.395,-0.3125
28,-0.1263,-0.2325,-0.3675,-0.3275
29,-0.245,-0.21,-0.345,-0.34
30,-0.15,-0.2525,-0.3225,-0.3525
31,-0.145,-0.245,-0.315,-0.3875
32,-0.1475,-0.2788,-0.3025,-0.32
33,-0.325,-0.4425,-0.45,-0.325
34,-0.25,-0.395,-0.485,-0.33
35,-0.3025,-0.4975,-0.57,-0.2425
36,-0.3325,-0.43,-0.6,-0.2075
37,,-0.3975,-0.5925,-0.255
38,,-0.3475,-0.45,-0.2775
39,,-0.3525,-0.545,-0.27
40,,-0.265,-0.49,-0.275
41,,-0.2325,-0.4025,-0.2425
42,,-0.23,-0.3025,-0.2025
43,,-0.2275,-0.3025,
44,,-0.105,-0.2413,
45,,-0.2325,-0.3775,
46,,-0.2225,-0.2,
47,,-0.2175,-0.2025,
48,,-0.2225,-0.1975,
