MOUND CITY MO - MOUND CITY FEED &amp; GRAIN - Corn Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.4375,-0.51,-0.5375,-0.3625,-0.4825,-0.355
2,-0.45,-0.4975,-0.5425,-0.36,-0.48,-0.32
3,-0.45,-0.5,-0.5325,-0.3575,-0.44,-0.3175
4,-0.45,-0.505,-0.5275,-0.3625,-0.4625,-0.3238
5,-0.44,-0.5025,-0.5425,-0.07,-0.465,-0.2625
6,-0.4575,-0.5025,-0.5875,-0.35,-0.3575,-0.32
7,-0.4275,-0.4975,-0.5975,-0.3525,-0.3475,-0.3575
8,-0.3875,-0.505,,,-0.3275,-0.395
9,-0.475,-0.5825,-0.66,-0.3825,-0.385,-0.5
10,-0.455,-0.6175,-0.6125,-0.365,-0.38,-0.535
11,-0.4525,-0.58,-0.605,,-0.3775,-0.5275
12,-0.5575,-0.555,-0.5613,-0.3475,-0.35,-0.535
13,,-0.54,-0.5375,-0.35,-0.3275,-0.4875
14,-0.4675,-0.51,-0.53,-0.335,-0.3325,-0.4925
15,-0.4525,-0.47,-0.4975,-0.4375,-0.33,-0.445
16,-0.4275,-0.455,-0.49,-0.4675,-0.2813,-0.3975
17,-0.454,-0.53,-0.5375,-0.5075,-0.2775,-0.42
18,-0.4325,-0.5275,-0.5325,-0.525,-0.2825,-0.425
19,-0.405,-0.5125,-0.505,-0.525,-0.28,-0.375
20,-0.4975,-0.515,-0.5063,-0.5175,-0.285,-0.295
21,-0.4775,-0.4835,-0.585,-0.4975,-0.28,-0.2725
22,,-0.48,-0.62,-0.5225,-0.2825,-0.25
23,,-0.4625,-0.5675,-0.53,-0.2825,-0.245
24,,-0.435,-0.5475,-0.4788,-0.2825,-0.24
25,,-0.4125,-0.65,-0.465,-0.505,-0.2025
26,,-0.36,-0.705,,-0.425,-0.3025
27,,-0.3425,-0.705,-0.425,-0.48,-0.3425
28,,-0.3725,-0.6775,-0.4175,-0.4475,-0.345
29,,-0.42,-0.605,-0.43,-0.4175,-0.3225
30,,-0.4425,-0.6025,-0.455,-0.3825,
31,,-0.455,-0.545,-0.4825,-0.3825,-0.325
32,,-0.4388,-0.5175,-0.47,-0.4425,-0.3
33,,-0.5825,-0.67,-0.5725,-0.435,-0.4
34,,-0.585,-0.775,-0.6275,-0.48,0.0025
35,,-0.6075,-0.72,-0.66,,-0.4675
36,,-0.63,-0.75,-0.5725,-0.54,-0.625
37,,-0.6275,-0.7525,-0.5875,-0.6275,-0.7725
38,,-0.5075,-0.75,-0.62,-0.63,-0.9225
39,,-0.4925,-0.745,-0.665,,-0.925
40,,-0.46,-0.73,-0.57,-0.48,
41,,-0.4325,-0.7025,-0.5825,-0.455,-0.9225
42,,-0.4,-0.6825,-0.6175,-0.3725,
43,,-0.3875,-0.5425,-0.535,-0.2975,-0.6925
44,,-0.375,-0.4563,-0.5075,-0.31,-0.6025
45,,-0.4525,-0.5675,-0.53,-0.3825,-0.63
46,,-0.4825,-0.54,-0.555,-0.3675,-0.5875
47,,-0.4875,-0.5325,-0.5525,-0.3725,-0.5325
48,,,-0.5275,-0.5525,-0.3725,-0.535
