"PILOT GROVE MO - PILOT GROVE COOP ELEVATOR INC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2975,-0.35,-0.3475,-0.1525,-0.4525,0.0050
2,-0.3,-0.3475,-0.3525,-0.15,-0.45,0.0000
3,-0.3,-0.35,-0.3525,-0.1475,-0.45,0.0025
4,-0.3,-0.345,-0.3475,-0.1525,-0.4025,-0.0738
5,-0.25,-0.3425,-0.3525,-0.15,-0.395,-0.0625
6,-0.2475,-0.3525,-0.3475,-0.15,-0.3975,-0.1
7,-0.2475,-0.3475,-0.3475,-0.1525,-0.2975,-0.0975
8,-0.2475,-0.325,-0.35,-0.145,-0.2975,-0.095
9,-0.295,-0.4025,-0.4,-0.2025,-0.345,-0.1
10,-0.295,-0.3975,-0.4025,-0.095,-0.35,-0.145
11,-0.3025,-0.4,-0.395,-0.1025,-0.3475,-0.1475
12,-0.3075,-0.395,-0.3963,-0.0975,-0.35,-0.145
13,-0.2575,-0.4,-0.3175,-0.2,-0.3475,-0.1475
14,-0.2475,-0.4,-0.32,-0.145,-0.3525,-0.1525
15,-0.2525,-0.4,-0.3175,-0.1575,-0.25,-0.145
16,-0.2575,-0.395,-0.32,-0.2075,-0.2263,-0.1475
17,-0.234,-0.45,-0.3975,-0.2475,-0.2475,-0.2
18,-0.2525,-0.3775,-0.3525,-0.245,-0.2525,-0.195
19,-0.195,-0.3825,-0.345,-0.245,-0.25,-0.195
20,-0.2025,-0.375,-0.3513,-0.2475,-0.245,-0.095
21,-0.1075,-0.3835,-0.345,-0.2475,-0.25,-0.1025
22,-0.1,-0.3,-0.35,-0.3525,-0.2525,-0.1
23,-0.1,-0.3025,-0.3475,-0.4,-0.2525,-0.095
24,-0.0925,-0.295,-0.3475,-0.3488,-0.2125,-0.1
25,-0.1475,-0.3525,,-0.345,-0.315,-0.0125
26,-0.15,0.1000,-0.445,-0.25,-0.275,-0.0525
27,-0.05,-0.2525,-0.445,-0.245,-0.32,-0.0525
28,-0.0013,-0.2525,-0.4475,-0.2475,-0.2975,-0.17
29,-0.095,-0.25,-0.445,-0.25,-0.3475,-0.2025
30,-0.1,-0.2325,-0.4425,-0.245,-0.3225,-0.2
31,-0.095,-0.225,-0.445,-0.2525,-0.3225,-0.195
32,-0.0975,-0.2288,-0.3725,-0.25,-0.4325,-0.2
33,-0.145,-0.3625,-0.44,-0.3925,-0.345,-0.3
34,-0.15,,-0.445,-0.3975,-0.35,-0.3975
35,-0.1025,-0.3775,-0.45,-0.4,-0.38,-0.3975
36,-0.1525,-0.35,-0.5,-0.4525,-0.35,-0.445
37,,-0.3475,-0.5025,-0.4975,-0.2975,-0.5525
38,,-0.3475,-0.5,-0.49,-0.3,-0.6525
39,,-0.3525,-0.505,-0.495,-0.2,-0.645
40,,-0.35,-0.5,-0.5,-0.2,-0.6513
41,,-0.3525,-0.5025,-0.4525,-0.065,-0.6525
42,,-0.29,-0.5025,-0.4475,-0.0525,-0.6475
43,,-0.2975,-0.4825,-0.395,-0.0475,-0.6025
44,,-0.295,-0.3763,-0.3625,0.0100,-0.5125
45,,-0.4025,-0.3975,-0.45,-0.0625,-0.65
46,,-0.4025,,-0.445,-0.0475,-0.5475
47,,-0.3475,-0.4025,-0.4525,-0.1425,-0.4525
48,,-0.3525,-0.3975,-0.4525,-0.1475,-0.4375
