"RHINELAND MO - RHINELAND GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1975,-0.22,-0.1675,-0.1325,-0.4025,-0.095
2,-0.22,-0.1575,-0.1825,-0.13,-0.28,-0.1
3,-0.22,-0.25,-0.2525,-0.1475,-0.25,-0.1175
4,-0.11,-0.145,-0.1775,-0.1025,-0.3425,-0.1188
5,-0.13,-0.1825,-0.1725,-0.1,-0.225,-0.1125
6,-0.1275,-0.2125,-0.1775,-0.12,-0.2475,-0.13
7,-0.1475,-0.2175,-0.1675,-0.1625,-0.2375,-0.1075
8,-0.1475,-0.205,-0.17,-0.175,-0.1975,-0.095
9,-0.205,-0.2725,-0.22,-0.1425,-0.255,-0.22
10,-0.205,-0.2375,-0.2325,-0.125,-0.19,-0.145
11,-0.1725,-0.39,-0.245,-0.1625,-0.2675,-0.1975
12,-0.1675,-0.435,-0.2513,-0.1625,-0.29,-0.145
13,-0.1675,-0.32,-0.2875,-0.15,-0.2075,-0.1475
14,-0.1475,-0.35,-0.25,-0.085,-0.2125,-0.1525
15,-0.1025,-0.31,-0.2275,-0.1175,-0.2,-0.145
16,-0.0975,-0.305,-0.21,-0.0975,-0.1413,-0.0975
17,-0.184,-0.29,-0.2975,-0.1275,-0.1375,-0.15
18,-0.1025,-0.2875,-0.3025,-0.175,-0.1225,-0.145
19,-0.155,-0.2525,-0.295,-0.245,-0.19,-0.095
20,-0.1625,-0.29,-0.3063,-0.2475,-0.145,-0.095
21,-0.1475,-0.2535,-0.395,-0.2175,-0.19,-0.0525
22,-0.2,-0.25,-0.33,-0.1625,-0.2025,0.0000
23,-0.15,-0.2025,-0.2975,-0.19,-0.2325,0.0550
24,-0.1525,-0.205,-0.3575,-0.1188,-0.2425,0.0500
25,-0.1475,-0.2725,-0.4,-0.145,-0.335,0.1375
26,-0.1,-0.27,-0.415,-0.07,-0.315,0.0975
27,-0.1,-0.2725,-0.395,-0.025,-0.3,0.0975
28,-0.1263,-0.2325,-0.3675,-0.0475,-0.2875,0.1050
29,-0.245,-0.21,-0.345,-0.19,-0.3975,-0.0525
30,-0.15,-0.2525,-0.3225,-0.055,-0.3725,0.0000
31,-0.145,-0.245,-0.315,-0.1925,-0.3625,-0.045
32,-0.1475,-0.2788,-0.3025,-0.225,-0.4525,-0.1
33,-0.325,-0.4425,-0.45,-0.3125,-0.545,-0.35
34,-0.2,-0.455,-0.485,-0.3275,,-0.3075
35,-0.2525,-0.5475,-0.57,-0.33,,
36,-0.2825,-0.48,-0.6,-0.3525,,-0.645
37,,-0.4475,-0.5925,-0.4675,,-0.7525
38,,-0.3975,-0.45,-0.32,,-1.0025
39,,-0.4025,-0.545,-0.325,,-0.695
40,,-0.29,-0.49,-0.33,,-0.6513
41,,-0.2525,-0.4025,-0.3125,,-0.6025
42,,-0.25,-0.3025,-0.2275,-0.1225,-0.5975
43,,-0.2475,-0.3025,-0.255,-0.1175,-0.5525
44,,-0.145,-0.2413,-0.2775,-0.12,-0.2025
45,,-0.2825,-0.3775,-0.29,-0.1925,-0.25
46,,-0.2725,-0.2,-0.275,-0.0875,-0.2975
47,,-0.2675,-0.2025,-0.2425,-0.1025,-0.3525
48,,-0.2725,-0.1975,-0.2025,-0.1675,-0.3475
