"RICHMOND MO - RAY CARROLL GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4275,-0.45,-0.4775,-0.3625,-0.3925,-0.275
2,-0.43,-0.3975,-0.4625,-0.34,-0.38,-0.24
3,-0.43,-0.4,-0.4625,-0.3475,-0.36,-0.2375
4,-0.42,-0.395,-0.4775,-0.3525,-0.3425,-0.2388
5,-0.39,-0.3825,-0.4925,-0.36,-0.315,-0.2025
6,-0.3575,-0.3825,-0.4675,-0.36,-0.2975,-0.34
7,-0.3475,-0.3775,-0.4675,-0.3425,-0.2175,-0.3075
8,-0.3275,-0.395,-0.48,-0.365,-0.2775,-0.345
9,-0.415,-0.4725,-0.57,-0.3925,-0.335,-0.42
10,-0.375,-0.4675,-0.5725,-0.385,-0.28,-0.485
11,-0.3725,-0.47,-0.575,-0.3925,-0.2775,-0.4875
12,-0.3575,-0.455,-0.5113,-0.4025,-0.22,-0.435
13,-0.3475,-0.44,-0.4875,-0.39,-0.0675,-0.4375
14,-0.3175,-0.43,-0.5,-0.395,-0.1025,-0.4225
15,-0.2725,-0.41,-0.4875,-0.5075,-0.19,-0.385
16,-0.2475,-0.405,-0.49,-0.5275,-0.1463,-0.3925
17,-0.314,-0.48,-0.5475,-0.5475,-0.1575,-0.43
18,-0.2825,-0.4675,-0.5325,-0.555,-0.1625,-0.405
19,-0.275,-0.4625,-0.495,-0.495,-0.17,-0.365
20,-0.3375,-0.425,-0.4813,-0.4975,-0.165,-0.295
21,-0.3475,-0.4035,-0.505,-0.4975,-0.17,-0.2825
22,-0.31,-0.36,-0.53,-0.5325,-0.1725,-0.23
23,-0.29,-0.3425,-0.5075,-0.53,-0.1725,-0.175
24,-0.2225,-0.335,-0.4775,-0.5338,-0.1625,-0.18
25,-0.2375,-0.4225,-0.59,-0.455,-0.385,-0.1425
26,-0.15,-0.38,-0.585,-0.43,-0.365,-0.2125
27,-0.11,-0.3825,-0.545,-0.415,-0.43,-0.2425
28,-0.1113,-0.3825,-0.5175,-0.3775,-0.3925,-0.3
29,-0.115,-0.38,-0.495,-0.39,-0.2975,-0.2925
30,-0.1,-0.3825,-0.4725,-0.385,-0.2825,-0.29
31,-0.105,-0.375,-0.475,-0.4225,-0.2825,-0.285
32,-0.0975,-0.3788,-0.4275,-0.435,-0.3925,
33,-0.225,-0.5125,-0.56,-0.5225,-0.395,-0.34
34,-0.15,-0.515,-0.555,-0.5275,-0.38,-0.2875
35,-0.1525,-0.5075,-0.55,-0.51,-0.41,-0.2475
36,-0.1825,-0.49,-0.54,-0.5125,-0.38,
37,,-0.4575,-0.5125,-0.4875,,-0.2725
38,,-0.4575,-0.49,-0.48,,-0.4825
39,,-0.4425,-0.485,-0.475,,-0.525
40,,-0.415,-0.48,-0.48,,-0.4713
41,,-0.3925,-0.4525,-0.4625,-0.375,-0.4425
42,,-0.37,-0.4225,-0.4575,-0.3325,-0.4275
43,,-0.3675,-0.4225,-0.465,-0.3075,-0.3925
44,,-0.355,-0.4113,-0.4475,-0.3,-0.3825
45,,-0.4625,-0.5275,-0.52,-0.3725,-0.5
46,,-0.4425,-0.51,-0.515,-0.3575,-0.4575
47,,-0.4275,-0.4925,-0.5025,-0.3525,-0.4225
48,,-0.4325,-0.4675,-0.4925,-0.3675,-0.405
