"SHELBINA MO - ADM QUINCY - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.3175,-0.3,-0.2775,-0.1525,-0.5025,-0.075
2,-0.41,-0.3075,-0.2925,-0.15,-0.5,-0.1
3,-0.4,-0.29,-0.3525,-0.1475,,-0.1575
4,-0.33,-0.315,-0.3475,-0.1525,-0.4025,-0.1588
5,-0.26,-0.3225,-0.3225,-0.15,-0.405,-0.1125
6,-0.2275,-0.3425,-0.3275,-0.15,-0.3275,-0.19
7,-0.2775,-0.2375,-0.2775,-0.2025,-0.2675,-0.2275
8,-0.2875,-0.245,-0.26,-0.245,-0.2575,-0.245
9,-0.375,-0.3525,-0.33,-0.1925,-0.365,-0.33
10,-0.355,-0.4975,-0.3025,-0.175,-0.28,-0.335
11,-0.3225,-0.49,-0.355,-0.1925,-0.2875,-0.3675
12,-0.3175,-0.545,-0.3613,-0.1975,-0.32,-0.365
13,-0.3175,-0.46,-0.3575,-0.21,-0.3375,-0.3075
14,-0.2375,-0.44,-0.34,-0.185,-0.3525,-0.3525
15,-0.2425,-0.44,-0.3375,-0.2275,-0.28,-0.315
16,-0.1775,-0.305,-0.31,-0.2775,-0.1163,-0.2625
17,-0.164,-0.37,-0.4075,-0.2475,-0.2975,-0.28
18,-0.1725,-0.3075,-0.3625,-0.255,-0.1925,-0.225
19,-0.295,-0.3225,-0.355,-0.285,-0.2,-0.225
20,-0.4825,-0.31,-0.3163,-0.2875,-0.245,-0.155
21,-0.4975,-0.3535,-0.405,-0.2775,-0.23,-0.1725
22,-0.47,-0.37,-0.34,-0.2225,-0.2625,-0.14
23,-0.41,-0.3225,-0.3575,-0.25,-0.2325,-0.105
24,-0.3825,-0.265,-0.3675,-0.3138,-0.2625,-0.08
25,-0.3675,-0.3925,-0.46,-0.335,-0.395,0.0375
26,-0.31,-0.3,-0.505,-0.33,-0.385,-0.0225
27,-0.29,-0.3825,-0.465,-0.275,-0.36,-0.0925
28,-0.3163,-0.2525,-0.4875,-0.2675,-0.3475,-0.09
29,-0.305,-0.33,-0.445,-0.31,-0.3275,-0.1325
30,-0.32,-0.2625,-0.3925,-0.285,-0.2825,-0.2
31,-0.295,-0.285,-0.335,-0.3825,-0.3125,-0.325
32,-0.3475,-0.2838,-0.4175,-0.395,-0.3925,-0.27
33,-0.465,-0.3925,-0.61,-0.4925,,-0.3
34,-0.49,-0.455,-0.625,-0.6575,,-0.4775
35,-0.4125,-0.5675,-0.66,-0.55,,-0.5275
36,-0.4125,-0.49,-0.73,-0.5625,,-0.495
37,,-0.5475,,,-0.4375,-0.8025
38,,-0.5275,,,-0.4,-0.9025
39,,-0.6025,,,-0.33,-1.005
40,,-0.475,,,-0.25,-0.9513
41,,-0.4225,-0.4825,-0.4825,-0.185,-0.9025
42,,-0.32,-0.4825,-0.3775,-0.1225,-0.6975
43,,-0.2975,-0.4625,-0.385,-0.0775,-0.7025
44,,-0.275,-0.3863,-0.3725,-0.1,-0.5025
45,,-0.3325,-0.4575,-0.38,-0.1325,-0.5
46,,-0.4025,-0.41,-0.355,-0.1075,-0.5775
47,,-0.3175,-0.4325,-0.3425,-0.1425,-0.5825
48,,-0.3425,-0.3575,-0.3325,-0.1425,-0.5575
