"TRENTON MO - GFG AG SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.3975,-0.5,-0.5475,
2,-0.4,-0.4975,-0.5525,
3,-0.4,-0.4,-0.5525,-0.3
4,-0.3975,-0.405,-0.5475,-0.3
5,-0.4,-0.4025,,-0.3025
6,-0.3975,-0.4025,-0.5275,-0.295
7,-0.3975,-0.3975,-0.5475,-0.3525
8,-0.3975,-0.375,-0.55,-0.355
9,-0.445,-0.4525,-0.59,-0.3525
10,-0.435,-0.4475,-0.6025,-0.3525
11,-0.4325,-0.45,-0.605,-0.35
12,-0.4375,-0.455,-0.5663,-0.355
13,-0.4075,-0.45,-0.5475,-0.4075
14,-0.3975,-0.5,-0.55,-0.3975
15,-0.3725,-0.5,-0.4975,-0.4475
16,-0.3775,-0.505,-0.5,-0.455
17,-0.434,-0.64,-0.4975,-0.455
18,-0.3525,-0.5575,-0.5025,-0.4475
19,-0.345,-0.5525,-0.495,-0.4475
20,-0.3525,-0.53,-0.5013,-0.4525
21,-0.3575,-0.4535,-0.495,-0.55
22,-0.35,-0.46,-0.5,-0.5488
23,-0.35,-0.4525,-0.4975,-0.555
24,-0.3525,-0.455,-0.4975,-0.55
25,-0.4075,-0.4525,,-0.555
26,-0.25,-0.45,-0.555,-0.5475
27,-0.2,-0.4525,-0.555,-0.5
28,-0.2013,-0.4025,-0.5475,-0.555
29,-0.205,-0.4,-0.555,-0.5525
30,-0.2,-0.3025,-0.5525,-0.555
31,-0.205,-0.305,-0.555,-0.5925
32,-0.1975,-0.3038,-0.5525,-0.5975
33,-0.315,-0.4525,-0.63,-0.6
34,-0.4,-0.455,-0.635,-0.6025
35,-0.4025,-0.4575,-0.63,-0.6775
36,-0.4025,-0.4,-0.6,-0.67
37,,-0.4475,-0.6025,-0.675
38,,-0.3975,-0.6,-0.63
39,,-0.4025,-0.605,-0.6325
40,,-0.4025,-0.6,-0.6275
41,,-0.3525,-0.6025,-0.605
42,,-0.31,-0.5525,-0.5975
43,,,-0.5025,-0.65
44,,-0.305,-0.4513,-0.655
45,,-0.4025,-0.4975,-0.6525
46,,-0.4025,-0.5,-0.6525
47,,-0.4075,-0.5025,
48,,-0.4025,-0.4975,
