"UNIONVILLE MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.5075,-0.26,-0.3875,-0.1025,-0.5125,-0.185
2,-0.25,-0.2175,-0.3625,-0.1,-0.5,-0.17
3,-0.27,-0.2,-0.2525,-0.0975,-0.53,-0.2975
4,-0.255,-0.33,-0.2475,-0.0825,-0.4325,-0.3038
5,-0.22,-0.4125,-0.2725,-0.12,-0.355,-0.3825
6,-0.2075,-0.4225,-0.3375,-0.12,-0.4675,-0.32
7,-0.1875,-0.3675,-0.4575,-0.1225,-0.4375,-0.2175
8,-0.2475,-0.415,-0.43,-0.125,-0.4675,-0.245
9,-0.395,-0.4925,-0.51,-0.4025,-0.525,-0.39
10,-0.345,-0.4875,-0.4525,-0.335,-0.51,-0.475
11,-0.1925,-0.49,-0.455,-0.3325,-0.4575,-0.5675
12,-0.3075,-0.485,-0.4363,-0.3725,-0.49,-0.245
13,-0.2975,-0.52,-0.3275,-0.41,-0.5175,-0.4975
14,-0.0675,-0.55,-0.47,-0.105,-0.4925,-0.5725
15,0.0075,-0.55,-0.4775,-0.1575,-0.36,-0.565
16,-0.0275,-0.545,-0.48,-0.3475,-0.2563,-0.5225
17,-0.094,-0.57,-0.5175,-0.4775,-0.1675,-0.46
18,-0.2025,-0.5675,-0.5225,-0.485,0.1875,-0.515
19,-0.095,-0.5725,-0.435,-0.545,-0.24,-0.045
20,-0.3525,-0.585,-0.4125,-0.5375,-0.135,-0.095
21,-0.3975,-0.5235,-0.375,-0.5575,-0.14,-0.0125
22,-0.43,-0.52,-0.53,-0.6625,-0.1425,-0.4
23,-0.2,-0.5225,-0.5275,-0.66,-0.1525,-0.265
24,-0.1925,-0.515,-0.5275,-0.6638,-0.4325,-0.16
25,-0.3875,-0.2625,,-0.235,-0.755,0.0075
26,-0.1,-0.47,-0.525,-0.32,-0.775,-0.0225
27,0.0000,-0.4225,-0.535,,-0.69,-0.3025
28,-0.0013,-0.4225,,,-0.4425,-0.275
29,0.0050,-0.72,-0.505,,-0.2975,-0.3325
30,-0.1,-0.3725,-0.4525,,-0.1525,-0.46
31,-0.095,-0.265,-0.405,,-0.0025,-0.525
32,-0.0975,-0.2288,-0.3775,,-0.2125,-0.49
33,-0.245,-0.3825,-0.45,,-0.305,-0.45
34,-0.1,-0.275,-0.425,,0.0700,-0.5275
35,-0.1125,-0.2475,-0.27,,-0.43,-0.2975
36,-0.1125,-0.41,-0.48,,-0.55,-0.605
37,,-0.4475,-0.6325,,-0.7475,-0.7525
38,,-0.4975,-0.64,,-0.8,-0.6425
39,,-0.5025,-0.585,,-0.5,-0.735
40,,-0.385,-0.61,,-0.5,-0.7763
41,,-0.4025,-0.6625,,-0.525,-0.8825
42,,-0.38,-0.6725,-0.5975,-0.5025,-0.8275
43,,-0.3875,-0.6125,-0.455,-0.4975,-0.8325
44,,-0.345,-0.6113,-0.4475,-0.51,-0.8725
45,,-0.4425,-0.7975,-0.54,-0.4625,-0.95
46,,-0.5125,-0.76,-0.425,-0.2075,-0.9575
47,,-0.5175,-0.2725,-0.4225,-0.2125,-0.9625
48,,-0.5125,-0.3175,-0.3025,-0.1375,-0.8675
