"VERSAILLES MO - NUTRAAG, LLC - Corn Basis",,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.0975,-0.25,-0.1975,0.0975,-0.4525,-0.045
2,-0.1,-0.2475,-0.2025,0.1,-0.35,-0.05
3,-0.1,-0.25,-0.2025,0.1025,-0.34,-0.0475
4,-0.1,-0.25,-0.1975,0.0975,-0.3525,-0.0488
5,-0.1,-0.2025,-0.1525,0.1,-0.315,-0.0125
6,-0.0975,-0.2025,-0.1475,0.1,-0.2975,-0.05
7,-0.0975,-0.1975,-0.1475,0.0975,-0.2975,-0.0475
8,-0.0475,,-0.15,0.045,-0.2975,-0.055
9,-0.095,-0.3525,,0.0075,-0.415,-0.12
10,-0.045,-0.3475,-0.3025,0.005,-0.42,-0.125
11,-0.0525,-0.35,-0.305,0.0075,-0.3475,-0.1175
12,-0.0475,-0.355,-0.2713,0.0075,-0.35,-0.125
13,0.0025,-0.35,-0.1975,0.05,-0.3975,-0.1475
14,0.0025,-0.35,-0.2,0.045,-0.3525,-0.1825
15,-0.0025,-0.35,-0.1975,-0.0075,-0.35,-0.155
16,0.0025,-0.345,-0.2,0.0025,-0.2963,-0.1525
17,0.006,-0.35,-0.1975,-0.0675,-0.2475,-0.15
18,-0.0025,-0.3475,-0.2025,-0.105,-0.2525,-0.155
19,-0.005,-0.3525,-0.205,-0.095,-0.2,-0.155
20,-0.0475,-0.355,-0.2013,-0.1475,-0.205,-0.155
21,-0.0475,-0.3035,-0.195,-0.2475,-0.21,-0.1025
22,0,-0.3,-0.15,-0.3025,-0.2025,-0.1
23,0,-0.3025,-0.1475,-0.35,-0.2025,-0.095
24,-0.0025,-0.295,-0.1475,-0.3488,-0.2025,0
25,0.1025,-0.2525,-0.2,-0.245,-0.385,0.0875
26,0.1,-0.2,-0.255,-0.25,-0.215,-0.0325
27,0.1,-0.1525,-0.245,-0.045,-0.25,-0.1025
28,0.0987,-0.1525,-0.2475,-0.1975,-0.3475,-0.1
29,0.155,-0.15,-0.305,-0.25,-0.3475,-0.1025
30,0.15,-0.2025,-0.3525,-0.245,-0.3525,-0.12
31,0.255,-0.195,-0.355,-0.2525,-0.3525,-0.095
32,0.2525,-0.2038,-0.3525,-0.275,-0.4125,-0.1
33,0.105,-0.3025,-0.5,-0.5425,-0.405,-0.4
34,0,-0.395,-0.495,-0.5475,-0.4,-0.3975
35,-0.0025,-0.3975,-0.5,-0.55,-0.43,-0.4475
36,-0.2525,-0.4,-0.5,-0.5525,-0.4,-0.545
37,,-0.2475,-0.5525,-0.6475,-0.4475,-0.6525
38,,-0.1975,-0.55,-0.64,-0.35,-0.6525
39,,-0.2025,-0.555,-0.645,-0.35,-0.645
40,,-0.125,-0.45,-0.55,-0.2,-0.7063
41,,-0.1025,-0.4025,-0.5025,-0.165,-0.7025
42,,-0.05,-0.4025,-0.4475,-0.0025,-0.6875
43,,-0.0475,-0.4025,-0.255,0.0025,-0.7025
44,,-0.045,-0.3013,-0.2475,0,-0.6525
45,,-0.0525,-0.2975,-0.3,-0.0225,-0.78
46,,-0.1025,-0.3,-0.295,-0.0075,-0.4975
47,,-0.0975,-0.3025,-0.3025,-0.0225,-0.5025
48,,-0.1025,-0.2475,-0.3025,-0.0025,-0.4825
