"Week","date2014","date2015","date2016","date2017","date2018","date2019","basis2019","basis2018","basis2017","basis2016","basis2015","basis2014","City","Company"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.85,NA,-0.8025,-0.1975,-0.3525,-0.28,"ADRIAN     MO","WEST CENTRAL AGRA"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.9,-0.6975,-0.805,-0.2,-0.3525,-0.1025,"ADRIAN     MO","WEST CENTRAL AGRA"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.905,-0.65,-0.8025,-0.25,-0.325,-0.09,"ADRIAN     MO","WEST CENTRAL AGRA"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.9,-0.6,-0.805,-0.25,-0.3525,-0.17,"ADRIAN     MO","WEST CENTRAL AGRA"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,NA,-0.6025,-0.7475,-0.2475,-0.41,0.0275,"ADRIAN     MO","WEST CENTRAL AGRA"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,NA,-0.6525,-0.7475,-0.25,-0.3475,-0.15,"ADRIAN     MO","WEST CENTRAL AGRA"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,NA,-0.65,-0.7525,-0.255,-0.2975,-0.1525,"ADRIAN     MO","WEST CENTRAL AGRA"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,NA,-0.7525,-0.7475,-0.2975,-0.2975,-0.2525,"ADRIAN     MO","WEST CENTRAL AGRA"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.85,-0.8525,-0.6475,-0.374,-0.3225,-0.195,"ADRIAN     MO","WEST CENTRAL AGRA"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.85,-0.7975,-0.6475,-0.3475,-0.3275,-0.21,"ADRIAN     MO","WEST CENTRAL AGRA"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.845,-0.8,-0.7,-0.345,-0.33,-0.2025,"ADRIAN     MO","WEST CENTRAL AGRA"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.845,-0.6525,-0.7988,-0.3513,-0.2975,-0.2,"ADRIAN     MO","WEST CENTRAL AGRA"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.7475,-0.6475,-0.7525,-0.4,-0.2475,-0.1525,"ADRIAN     MO","WEST CENTRAL AGRA"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.75,-0.6475,-0.7475,-0.3975,-0.255,-0.1325,"ADRIAN     MO","WEST CENTRAL AGRA"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.75,-0.645,-0.6025,-0.3575,-0.25,-0.0975,"ADRIAN     MO","WEST CENTRAL AGRA"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.7525,-0.7,-0.5975,-0.55,-0.23,-0.1113,"ADRIAN     MO","WEST CENTRAL AGRA"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,NA,-0.6975,NA,-0.65,-0.115,-0.1025,"ADRIAN     MO","WEST CENTRAL AGRA"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.6975,-0.5475,NA,-0.6525,-0.1125,0.0025,"ADRIAN     MO","WEST CENTRAL AGRA"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.695,-0.5513,NA,-0.6525,-0.1125,0.0475,"ADRIAN     MO","WEST CENTRAL AGRA"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.7025,-0.5525,-0.6513,-0.645,-0.11,0.05,"ADRIAN     MO","WEST CENTRAL AGRA"
