"ADRIAN     MO - WEST CENTRAL AGRA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.85,,-0.8025,-0.1975,-0.3525,-0.28
2,-0.9,-0.6975,-0.805,-0.2,-0.3525,-0.1025
3,-0.905,-0.65,-0.8025,-0.25,-0.325,-0.09
4,-0.9,-0.6,-0.805,-0.25,-0.3525,-0.17
5,,-0.6025,-0.7475,-0.2475,-0.41,0.0275
6,,-0.6525,-0.7475,-0.25,-0.3475,-0.15
7,,-0.65,-0.7525,-0.255,-0.2975,-0.1525
8,,-0.7525,-0.7475,-0.2975,-0.2975,-0.2525
9,-0.85,-0.8525,-0.6475,-0.374,-0.3225,-0.195
10,-0.85,-0.7975,-0.6475,-0.3475,-0.3275,-0.21
11,-0.845,-0.8,-0.7,-0.345,-0.33,-0.2025
12,-0.845,-0.6525,-0.7988,-0.3513,-0.2975,-0.2
13,-0.7475,-0.6475,-0.7525,-0.4,-0.2475,-0.1525
14,-0.75,-0.6475,-0.7475,-0.3975,-0.255,-0.1325
15,-0.75,-0.645,-0.6025,-0.3575,-0.25,-0.0975
16,-0.7525,-0.7,-0.5975,-0.55,-0.23,-0.1113
17,,-0.6975,,-0.65,-0.115,-0.1025
18,-0.6975,-0.5475,,-0.6525,-0.1125,0.0025
19,-0.695,-0.5513,,-0.6525,-0.1125,0.0475
20,-0.7025,-0.5525,-0.6513,-0.645,-0.11,0.0500
21,-0.6975,-0.55,,,-0.1425,-0.205
22,-0.7,-0.555,-0.5975,-0.6475,-0.155,-0.175
23,-0.7025,-0.545,-0.5975,-0.65,-0.15,-0.12
24,-0.7025,-0.5025,-0.5,-0.655,-0.1475,-0.0875
25,-0.6975,-0.5,,-0.585,-0.1975,
26,-0.695,-0.5025,-0.7475,-0.4775,-0.0275,0.3350
27,-0.695,-0.4975,-0.7475,-0.4125,-0.2025,0.3975
28,-0.7,-0.545,-0.7475,-0.5375,-0.2488,0.3125
29,-0.72,-0.5375,-0.8,-0.585,-0.0475,0.8350
30,-0.725,,-0.8,-0.545,-0.035,0.5850
31,-0.725,-0.5525,-0.7975,-0.545,-0.045,0.1825
32,-0.7175,,-0.8,-0.6138,0.0500,0.3825
33,-0.895,,-0.9,-0.695,,-0.65
34,-0.905,,-0.895,-0.6975,,-0.7475
35,-0.8975,,-0.9,-0.745,,-0.855
36,-0.9025,,-0.805,-0.805,,-0.8475
37,-0.8975,,-0.8025,-0.7975,-0.5,-0.8975
38,-0.7975,,-0.7525,-0.795,-0.495,-0.9
39,-0.75,-0.9,-0.8025,-0.755,-0.45,-0.895
40,-0.7475,-0.905,-0.845,-0.8,-0.445,-0.9038
41,,-0.895,-0.8225,-0.895,-0.32,-0.9025
42,,-0.85,-0.805,-1.05,-0.2975,-0.8575
43,,-0.855,-0.8025,-1.0475,-0.2975,-0.7975
44,,-0.805,-0.7888,-1.0525,-0.3025,-0.55
45,,-0.8,-0.7775,-0.85,-0.3025,-0.5425
46,,-0.8,-0.7825,-0.85,-0.2775,-0.55
47,,-0.8,-0.78,-0.8475,-0.215,-0.45
48,,,-0.775,-0.8475,-0.2163,-0.4575
