"ADRIAN MO - SCOULAR - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.95,-0.7075,-0.9525,
2,-0.89,-0.8,-0.945,
3,-0.895,-0.7975,-0.9025,-0.3975
4,-0.9,-0.725,-0.895,-0.4
5,,-0.65,-0.8975,-0.395
6,-0.795,-0.6525,-0.8975,-0.3975
7,-0.795,-0.6525,-0.9025,-0.394
8,-0.795,-0.64,-0.8975,-0.3975
9,-0.9,-0.7525,-0.7975,-0.395
10,-0.9,-0.7525,-0.8075,-0.4013
11,-0.895,-0.7475,-0.8,-0.4
12,-0.895,-0.75,-0.7988,-0.3975
13,-0.7975,-0.6525,,-0.0075
14,-0.8,-0.6475,,-0.6
15,-0.8,-0.6475,,-0.58
16,-0.8025,-0.645,,-0.5825
17,-0.9275,-0.7,,-0.5825
18,-0.7475,-0.6975,,-0.595
19,-0.745,-0.6975,,-0.6075
20,-0.7475,-0.5513,,-0.6975
21,-0.7475,-0.5525,,-0.7
22,-0.75,-0.55,,-0.605
23,-0.7425,-0.545,,-0.485
24,-0.7525,-0.545,,-0.3775
25,,-0.5425,,-0.3125
26,,-0.55,,-0.3375
27,,-0.5425,,-0.575
28,,-0.5475,,-0.525
29,,-0.595,,-0.545
30,,-0.5975,,-0.6575
31,,-0.605,,-0.685
32,,-0.4775,,-0.6975
33,,-0.75,,-0.845
34,-0.865,-0.75,,-0.845
35,-0.8475,-0.8,,-0.8475
36,-0.8525,-0.85,-0.795,-0.835
37,-0.8475,-0.895,-0.8025,-0.845
38,-0.8475,-0.9025,-0.8025,-0.8
39,-0.85,-0.8975,-0.8025,-0.945
40,-0.7475,-0.9213,-0.745,-1
41,,-0.955,-0.8025,-0.9975
42,,-0.945,-0.795,-1.0025
43,,-0.9,-0.8025,-1
44,,-0.895,-0.7988,-1
45,,-0.845,-0.7975,-0.9975
46,,-0.85,-0.8025,-0.9975
47,,-0.85,-0.8,
48,,-0.85,-0.795,
