"ALBANY    MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.83,-0.6975,-0.8525,-0.3675,-0.5925,
2,-0.8,-0.79,-0.845,-0.37,-0.5825,-0.39
3,-0.805,-0.7875,-0.8525,-0.37,-0.555,-0.42
4,-0.8,-0.79,-0.855,-0.37,-0.5825,-0.2025
5,-0.8475,-0.74,-0.8275,-0.3275,-0.61,-0.38
6,-0.855,-0.7425,-0.8275,-0.33,-0.5975,-0.3825
7,-0.845,-0.7425,-0.8325,-0.335,-0.5975,-0.5025
8,-0.805,-0.74,-0.8275,-0.3275,-0.5975,-0.445
9,-0.92,-0.7825,-0.9275,-0.384,-0.6625,-0.49
10,-0.8,-0.7825,-0.9275,-0.3775,-0.6375,-0.4825
11,-0.805,-0.7775,-0.93,-0.385,-0.49,-0.25
12,-0.805,-0.78,-0.8288,-0.3813,-0.4875,-0.4025
13,-0.7475,-0.7825,-0.7625,-0.44,-0.4875,-0.4325
14,-0.75,-0.7775,-0.7575,-0.4675,-0.495,-0.3975
15,-0.75,-0.6475,-0.7625,-0.4575,-0.49,-0.4113
16,-0.7525,-0.645,-0.7575,-0.62,-0.47,-0.1025
17,-0.7975,-0.7,-0.6925,-0.67,-0.415,-0.0975
18,-0.7975,-0.6975,-0.6925,-0.6725,-0.3125,-0.1025
19,-0.795,-0.6975,-0.686,-0.6725,-0.4325,-0.2
20,-0.7975,-0.7013,-0.6913,-0.665,-0.43,-0.455
21,-0.7975,,-0.6275,-0.6275,-0.3225,-0.425
22,-0.8,-0.5,-0.6275,-0.7575,-0.335,-0.32
23,-0.8025,-0.505,-0.6275,-0.76,-0.33,-0.3375
24,-0.8025,-0.495,-0.63,-0.655,-0.3275,0.3625
25,-0.8475,,-0.5975,-0.565,-0.3275,0.1350
26,-0.845,-0.5,-0.5975,-0.5675,-0.1575,-0.7525
27,-0.855,-0.5025,-0.5975,-0.5025,-0.3325,-0.3975
28,-0.85,-0.4975,-0.5975,-0.8175,-0.3287,-0.815
29,-0.8,-0.495,,,-0.6975,-0.965
30,-0.805,-0.5975,-0.62,,-0.685,-1.4675
31,-0.795,-0.605,-0.6575,,-0.695,-1.2675
32,-0.7975,-0.6025,-0.625,,-0.6,-1.02
33,-0.895,,-0.69,,-0.13,-0.8975
34,-0.905,,-0.685,,-0.3325,-0.905
35,-0.8975,,-0.69,,-0.4425,
36,-0.9025,,-0.695,,-0.4287,
37,-0.7475,-0.795,-0.7925,-0.6775,-0.52,-0.95
38,-0.7475,-0.8025,-0.7925,-0.675,-0.475,-0.845
39,-0.75,-0.7975,-0.7925,-0.655,-0.47,-0.9038
40,-0.7975,-0.8663,-0.755,-0.73,-0.475,-0.8525
41,,-0.905,-0.9625,-0.805,-0.51,-0.7075
42,,-0.745,-0.935,-0.92,-0.3975,-0.7475
43,,-0.65,-0.9325,-0.8975,-0.3275,-0.75
44,,-0.655,-0.8588,-0.9025,-0.3725,-0.7425
45,,-0.655,-0.7175,-0.8,-0.3725,-0.75
46,,-0.65,-0.7225,-0.8,-0.3975,-0.75
47,,-0.7,-0.72,-0.7975,-0.365,-0.7325
48,,-0.7,-0.725,-0.7975,-0.3663,
