"ALBANY MO - GFG AG SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.82,-0.7075,-0.7925,
2,-0.79,-0.75,-0.795,
3,-0.795,-0.7475,-0.8425,-0.3475
4,-0.8,-0.68,-0.845,-0.34
5,-0.7475,-0.66,,-0.345
6,-0.695,-0.6625,-0.8475,-0.3475
7,-0.695,-0.6625,-0.8425,-0.394
8,-0.645,-0.66,-0.8475,-0.3975
9,-0.73,-0.7625,-0.9475,-0.395
10,-0.67,-0.7625,-0.8975,-0.4463
11,-0.665,-0.7675,-0.9,-0.45
12,-0.665,-0.78,-0.7988,-0.4475
13,-0.7475,-0.6925,-0.7125,-0.4575
14,-0.7,-0.6975,-0.6975,-0.6
15,-0.7,-0.6475,-0.6725,-0.65
16,-0.7025,-0.645,-0.6775,-0.6425
17,-0.8175,-0.8,-0.6925,-0.6425
18,-0.6475,-0.6975,-0.6425,-0.645
19,-0.645,-0.5975,-0.636,-0.5975
20,-0.6975,-0.5213,-0.5963,-0.6475
21,-0.7475,-0.4925,-0.5775,-0.63
22,-0.75,-0.5,-0.5475,-0.545
23,-0.7925,-0.495,-0.5475,-0.495
24,-0.7925,-0.445,-0.53,-0.4975
25,-0.8275,-0.4925,,-0.4125
26,-0.795,-0.5,-0.5975,-0.4375
27,-0.695,-0.4425,-0.5975,-0.425
28,-0.7,-0.4475,-0.5975,-0.365
29,-0.67,-0.645,-0.68,-0.395
30,-0.675,-0.5875,-0.62,-0.4088
31,-0.675,-0.635,-0.6375,-0.185
32,-0.6675,-0.6675,-0.58,-0.2475
33,-0.795,-0.85,-0.7,-0.245
34,-0.815,-0.85,-0.695,-0.545
35,-0.7975,-0.8,-0.7,-0.6475
36,-0.8425,-0.85,-0.795,-0.635
37,-0.8475,-0.795,-0.7925,-0.695
38,-0.8475,-0.7925,-0.8025,-0.75
39,-0.8,-0.7475,-0.7725,-0.845
40,-0.7975,-0.7925,-0.745,-0.95
41,,-0.895,-0.8725,-0.9475
42,,-0.645,-0.875,-0.9425
43,,,-0.8525,-0.82
44,,-0.645,-0.7638,-0.82
45,,-0.645,-0.6975,-0.8175
46,,-0.7,-0.6925,-0.8175
47,,-0.7,-0.7,
48,,-0.7,-0.695,
