"BARING MO - NEMO FEED LLC - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.7,-0.3075,-0.4425,
2,-0.61,-0.36,-0.445,
3,-0.775,-0.3775,-0.4525,
4,-0.71,-0.455,-0.565,
5,-0.6175,-0.44,-0.5275,
6,-0.565,-0.4725,-0.4475,
7,-0.595,-0.5125,-0.4525,
8,-0.565,-0.5,-0.4475,
9,-0.66,-0.6125,-0.5375,
10,-0.6,-0.6525,-0.4975,
11,-0.495,-0.6475,-0.5,
12,-0.545,-0.7,-0.4688,
13,-0.5475,-0.5425,-0.4425,
14,-0.55,-0.3975,-0.3975,
15,-0.6,-0.4975,-0.3525,
16,-0.5725,-0.455,-0.2975,
17,-0.5975,-0.46,-0.3825,-0.155
18,-0.5675,-0.4375,-0.3825,-0.1575
19,-0.605,-0.4475,-0.376,-0.155
20,-0.6325,-0.4563,-0.3213,-0.465
21,-0.6075,-0.4925,-0.3175,-0.5075
22,-0.57,-0.5,-0.3175,-0.435
23,-0.5225,-0.415,-0.3175,-0.505
24,-0.5125,-0.375,-0.32,-0.85
25,-0.5275,-0.3625,-0.3975,-0.825
26,-0.425,-0.35,-0.3775,-0.63
27,-0.385,-0.4425,,-0.4775
28,-0.5,-0.5075,,-0.5425
29,-0.64,-0.615,-0.41,-0.46
30,-0.645,-0.6075,,-0.46
31,-0.475,-0.645,-0.2475,-0.3975
32,-0.5775,-0.7075,-0.22,-0.3975
33,-0.725,-0.9,-0.5,
34,-0.785,-0.95,-0.495,
35,-0.7475,-0.95,-0.6,
36,-0.7825,-0.85,-0.595,
37,-0.6475,-0.815,-0.7025,
38,-0.5375,-0.6425,-0.5425,
39,-0.46,-0.7075,-0.5225,
40,-0.4475,-0.7063,-0.665,
41,,-0.675,-0.7625,
42,,-0.515,-0.645,
43,,-0.55,-0.4725,
44,,-0.595,-0.4188,
45,,-0.715,-0.4775,
46,,-0.77,-0.4525,
47,,-0.64,-0.43,
48,,-0.6,-0.355,
