BETHANY   MO - GANGES FEED & GRAIN - Soybeans Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.83,-0.7175,-0.8025,-0.3575,-0.6025,-0.38
2,-0.8,-0.75,-0.805,-0.35,-0.6025,-0.3425
3,-0.805,-0.7575,-0.8525,-0.35,-0.605,-0.38
4,-0.8,-0.69,-0.855,-0.35,-0.5825,-0.38
5,-0.7575,-0.67,,-0.3575,-0.58,-0.2425
6,-0.705,-0.6725,-0.8575,-0.35,-0.5575,
7,-0.705,-0.6725,-0.8525,-0.355,-0.5075,-0.4025
8,-0.655,-0.67,-0.8575,-0.3575,-0.4075,-0.3925
9,-0.74,-0.7725,-0.9575,-0.404,-0.4725,-0.445
10,-0.67,-0.7725,-0.9075,-0.4075,-0.4275,
11,-0.665,-0.7775,-0.9,-0.405,-0.42,-0.4025
12,-0.675,-0.78,-0.8038,-0.4213,-0.4275,-0.25
13,-0.7475,-0.7025,-0.7325,-0.42,-0.3775,-0.1825
14,-0.7,-0.7075,-0.7075,-0.4275,-0.305,-0.2025
15,-0.7,-0.6575,-0.6825,-0.4675,-0.3,-0.2075
16,-0.7025,-0.655,-0.6875,-0.6,-0.305,-0.1963
17,-0.8275,-0.81,-0.7025,-0.65,-0.305,-0.0825
18,-0.6575,-0.6975,-0.6525,-0.6525,-0.3025,-0.0075
19,-0.655,-0.6075,-0.646,-0.6525,-0.3025,0.0475
20,-0.7025,-0.5263,-0.6012,-0.655,-0.3,-0.2
21,-0.7575,-0.5025,-0.5875,-0.6075,-0.2325,-0.295
22,-0.75,-0.5,-0.5575,-0.6575,-0.235,-0.275
23,-0.8025,-0.505,-0.5575,-0.63,-0.2,-0.17
24,-0.8025,-0.455,-0.53,-0.555,-0.3475,-0.1875
25,-0.8375,-0.5025,,-0.505,-0.2375,
26,-0.805,-0.5,-0.6075,-0.5075,-0.1275,
27,-0.705,-0.4525,-0.6075,-0.4125,-0.3025,0.3475
28,-0.7,-0.4575,-0.6075,-0.4375,-0.3038,0.2675
29,-0.68,-0.655,-0.69,-0.435,-0.0975,
30,-0.675,-0.5975,-0.63,-0.375,0.015,0.675
31,-0.675,-0.635,-0.6475,-0.395,-0.055,0.1825
32,-0.6775,-0.6775,-0.585,-0.4137,-0.05,-1.2475
33,-0.805,-0.85,-0.7,-0.195,-0.56,-0.63
34,-0.825,-0.85,-0.705,-0.2575,-0.3525,
35,-0.8075,-0.8,-0.7,-0.255,-0.4725,-0.845
36,-0.8525,-0.86,-0.805,-0.555,-0.4537,-0.8475
37,-0.8575,-0.805,-0.8025,-0.6575,-0.55,-0.8975
38,-0.8575,-0.7525,-0.8025,-0.645,-0.405,-0.91
39,-0.8,-0.7575,-0.7825,-0.705,-0.44,-0.855
40,-0.7975,-0.8025,-0.755,-0.75,-0.445,-0.8638
41,,-0.905,-0.8825,-0.855,-0.42,-0.9025
42,,-0.655,-0.885,-0.95,-0.3075,-0.7575
43,,,-0.8625,-0.9575,-0.3575,-0.7575
44,,-0.655,-0.7688,-0.9525,-0.4025,-0.75
45,,-0.655,-0.7075,-0.82,-0.4025,-0.7625
46,,-0.7,-0.7025,-0.82,-0.4375,-0.75
47,,-0.71,-0.7,-0.8275,-0.355,-0.76
48,,-0.7,-0.705,-0.8275,-0.3863,-0.7475
