"BOONVILLE MO - MFA - Soybeans Basis"
"Week
","2016
","2015
","2014
"
1,,,0.0000
2,,,-0.0025
3,,,0.0100
4,,,-0.045
5,,,0.1275
6,,,-0.15
7,,,-0.2025
8,,-0.15,-0.2025
9,,-0.13,-0.245
10,,-0.195,-0.11
11,,-0.2025,-0.1025
12,,-0.2025,-0.1
13,,-0.15,-0.0525
14,,-0.0925,-0.1825
15,,-0.105,-0.1475
16,,-0.1,-0.145
17,,-0.0975,-0.0025
18,,-0.1475,0.0525
19,,,0.0475
20,,,0.0500
21,,,-0.105
22,,,-0.095
23,,,-0.17
24,,,-0.1875
25,,,
26,,,0.2850
27,,,0.3475
28,,,0.3025
29,-0.6,,0.9350
30,-0.6,,0.7850
31,-0.5975,,0.5825
32,-0.5975,,1.0825
33,,,1.7000
34,,-0.34,1.3025
35,,-0.2475,
36,,-0.2475,
37,,,
38,,-0.2525,
39,,-0.2275,
40,,-0.195,
41,,-0.1975,
42,,,
43,,,
44,,,
45,,,-0.3925
46,,,-0.4
47,,,-0.4
48,,,-0.43
