"BROOKFIELD MO - AGRISERVICES OF BRUNSWICK - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.9,-0.6575,-0.7725,
2,-0.9,-0.75,-0.745,
3,-0.905,-0.6975,-0.7525,
4,-0.9,-0.7025,-0.805,
5,,-0.7,-0.7975,
6,-0.805,-0.7025,-0.7975,
7,-0.805,-0.7025,-0.7525,-0.45
8,,,-0.7475,-0.4975
9,-0.85,-0.8125,,-0.4075
10,-0.85,-0.8525,-0.7975,
11,-0.805,-0.8475,-0.8,-0.6
12,-0.805,-0.85,-0.7975,-0.6525
13,-0.7975,-0.7525,-0.7025,-0.6025
14,-0.8,-0.6975,-0.6975,-0.555
15,-0.8,-0.6475,-0.7025,
16,-0.8025,-0.595,-0.5975,-0.6475
17,-0.9175,,-0.7025,-0.65
18,-0.8975,-0.7075,-0.7025,-0.595
19,-0.895,-0.5975,-0.596,
20,-0.9025,-0.6013,-0.5025,
21,-0.7975,-0.6025,-0.4975,
22,-0.75,-0.45,-0.4475,
23,-0.7525,-0.405,-0.4475,
24,,-0.345,,
25,-0.7975,-0.4025,-0.5075,
26,-0.805,-0.4,-0.4875,
27,-0.755,-0.4025,-0.5475,-0.195
28,,-0.3975,-0.5975,-0.2475
29,-0.72,,-0.65,-0.395
30,-0.725,-0.6375,-0.64,
31,-0.725,,-0.5675,
32,-0.7175,-0.7275,-0.57,
33,-0.845,,-0.65,
34,-0.855,,-0.645,
35,-0.8475,,-0.8,-0.945
36,-0.8525,,,-0.95
37,-0.8475,-0.995,-0.9525,-0.8475
38,-0.8475,-1.0025,-0.9025,-0.8525
39,-0.75,-0.9975,-0.9025,-0.75
40,,-1.0413,-0.895,-0.75
41,,-0.955,,-0.7475
42,,-0.895,-1.005,
43,,-0.85,-0.9025,
44,,-0.855,-0.8525,
45,,-0.845,-0.7475,
46,,-0.85,-0.7525,
47,,-0.85,-0.7,
48,,-0.8,-0.655,
