"CARROLLTON MO - RAY-CARROLL GRAIN - WAKENDA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.8,-0.5575,-0.7225,-0.2075,-0.4025,-0.03
2,-0.8,-0.65,-0.695,-0.15,-0.3525,-0.0025
3,-0.805,-0.5975,-0.7525,-0.15,-0.355,0.0000
4,-0.8,-0.6,-0.755,-0.15,-0.3525,0.0300
5,-0.7475,-0.6,-0.7475,-0.1575,-0.35,0.1875
6,-0.705,-0.6025,-0.7475,-0.15,-0.2575,-0.1
7,-0.695,-0.6025,-0.7225,-0.205,-0.2075,-0.1525
8,-0.695,-0.61,-0.7175,-0.2075,-0.2075,-0.1025
9,-0.75,-0.7125,-0.7675,-0.274,-0.2225,-0.155
10,-0.75,-0.7525,-0.7475,-0.2775,-0.2275,-0.05
11,-0.695,-0.7475,-0.75,-0.275,-0.22,-0.0025
12,-0.695,-0.75,-0.7238,-0.3013,-0.2275,0.0000
13,-0.6975,-0.6525,-0.6525,-0.3,-0.1575,0.0475
14,-0.7,-0.5975,-0.6475,-0.3575,-0.125,-0.1525
15,-0.7,-0.5475,-0.6525,-0.2675,-0.12,-0.2075
16,-0.7025,-0.495,-0.5475,-0.4,-0.125,-0.2213
17,-0.8175,-0.61,-0.6525,-0.45,-0.175,-0.0025
18,-0.7975,-0.6075,-0.6025,-0.5525,-0.1725,0.0425
19,-0.795,-0.4975,-0.546,-0.4525,-0.1725,0.0475
20,-0.7725,-0.5013,-0.4513,-0.405,-0.12,0.0500
21,-0.6975,-0.5025,-0.4475,-0.4075,-0.0525,-0.055
22,-0.65,-0.3,-0.3975,-0.5075,-0.055,-0.105
23,-0.6525,-0.305,-0.3975,-0.5,-0.05,-0.15
24,-0.6525,-0.245,-0.4,-0.39,-0.1075,-0.1975
25,-0.6975,-0.3025,-0.4475,-0.335,-0.1875,0.4725
26,-0.655,-0.3,-0.4475,-0.2275,0.0725,0.3450
27,-0.655,-0.3025,-0.4975,-0.1625,-0.1025,0.3475
28,-0.65,-0.2975,-0.5475,-0.1875,0.0213,0.3275
29,-0.62,-0.345,-0.59,-0.235,0.0525,1.0350
30,-0.625,-0.5375,-0.53,-0.125,0.1650,1.1150
31,-0.625,-0.585,-0.4675,-0.145,0.0950,1.0325
32,-0.6175,-0.6275,-0.41,-0.2137,-0.05,1.5225
33,-0.745,,-0.6,-0.045,-0.2,1.8500
34,-0.755,,-0.595,-0.1075,-0.2025,1.4425
35,-0.7475,,,-0.255,-0.3225,0.9450
36,-0.7525,,,-0.705,-0.5288,-0.6575
37,,,,,-0.5,-0.6575
38,,,,,-0.455,-0.65
39,,,,-0.755,-0.4,-0.655
40,,-0.98,,-0.8,-0.355,-0.6538
41,,-0.845,-0.9025,-0.905,-0.32,-0.6525
42,,-0.795,-0.905,-0.9,-0.2575,
43,,-0.75,-0.8025,-0.8475,-0.2575,-0.5075
44,,-0.755,-0.6988,-0.8025,-0.2025,-0.38
45,,-0.755,-0.6475,-0.7,-0.2525,-0.3825
46,,-0.75,-0.6025,-0.7,-0.2375,-0.38
47,,-0.75,-0.6,-0.6975,-0.205,-0.38
48,,-0.7,-0.555,-0.6975,-0.2263,-0.3925
