"CENTERVIEW MO - WEST CENTRAL AGRI SERVICE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.7475,-0.8025,-0.1875,-0.4125,-0.23
2,-0.75,-0.75,-0.805,-0.11,-0.4025,-0.2025
3,-0.745,-0.7475,-0.8025,-0.25,-0.375,-0.19
4,-0.75,-0.65,-0.755,-0.25,-0.4025,-0.215
5,-0.7475,-0.6,,-0.2475,-0.36,-0.0225
6,-0.755,-0.6025,-0.7475,-0.25,-0.3475,-0.2
7,-0.745,-0.6525,-0.7525,-0.255,-0.2975,-0.3025
8,-0.655,-0.65,-0.7475,-0.2475,-0.2975,-0.3025
9,-0.75,-0.7525,-0.8475,-0.374,-0.3425,-0.305
10,-0.75,-0.7525,-0.7475,-0.3475,-0.3475,-0.32
11,-0.745,-0.7475,-0.75,-0.345,-0.35,-0.3025
12,-0.745,-0.75,-0.7488,-0.3513,-0.3475,-0.3
13,-0.6975,-0.6525,-0.6025,-0.4,-0.2975,-0.2025
14,-0.7,-0.6475,-0.7475,-0.3975,,-0.2325
15,-0.7,-0.6475,-0.7525,-0.3075,,-0.1975
16,-0.7025,-0.645,-0.6975,-0.55,-0.205,-0.2113
17,-0.8275,-0.74,-0.7525,-0.6,-0.195,-0.0025
18,-0.8275,-0.7375,-0.7525,-0.6525,-0.2025,0.0025
19,-0.825,-0.5475,-0.746,-0.6525,-0.2025,-0.0025
20,-0.7925,-0.5513,-0.7013,-0.645,-0.2,0.0000
21,-0.7475,-0.5525,-0.6475,-0.6475,-0.1425,-0.005
22,-0.75,-0.55,-0.6475,-0.7475,-0.155,-0.375
23,-0.7525,-0.555,-0.6475,-0.75,-0.15,-0.27
24,-0.7525,-0.545,-0.55,-0.745,-0.1475,-0.2875
25,-0.7975,-0.4525,-0.4975,-0.605,-0.1975,0.4125
26,-0.805,-0.45,-0.5475,-0.5975,-0.0275,0.1850
27,-0.805,-0.4525,-0.6475,-0.4325,-0.2025,0.2475
28,-0.7,-0.4475,-0.6475,-0.3875,-0.1988,0.2525
29,-0.72,-0.445,-0.58,-0.585,-0.0975,1.3350
30,-0.725,-0.4475,-0.55,-0.545,-0.085,1.1850
31,-0.725,,-0.5475,-0.545,-0.095,0.6825
32,-0.6675,-0.4775,-0.55,-0.6387,0.0000,0.8825
33,-0.795,,-0.65,-0.445,-0.65,
34,-0.805,,-0.645,-0.6475,-0.6525,
35,-0.7975,,-0.8,-0.645,-0.6625,-0.755
36,-0.8025,,-0.805,-0.655,-0.6488,-0.7475
37,,,-0.8025,-0.7475,-0.65,-0.8475
38,,,-0.8025,-0.745,-0.495,-0.85
39,,,-0.8025,-0.755,-0.5,-0.845
40,,,-0.795,-0.75,-0.505,-0.8787
41,,,-0.8025,-0.905,-0.47,-0.8325
42,,,-0.905,-0.9,-0.3975,-0.8075
43,,,-0.9025,-0.8975,-0.3475,-0.8975
44,,,-0.7988,-0.9025,-0.3525,-0.75
45,,-0.805,-0.7475,-0.85,-0.3525,-0.5925
46,,-0.75,-0.7525,-0.85,-0.3775,-0.6
47,,-0.75,-0.75,-0.8475,-0.345,-0.6
48,,-0.75,-0.755,-0.8475,-0.3463,-0.5925
