"CENTRALIA MO - CENTRALIA MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.3075,-0.5925,-0.0775,-0.4025,
2,-0.595,-0.38,-0.585,-0.02,-0.4025,0.0600
3,-0.6,-0.3775,-0.6025,-0.07,,-0.045
4,-0.6075,-0.445,-0.605,,-0.3525,
5,,,,,-0.3,
6,-0.595,-0.4425,,,,-0.1325
7,,-0.5525,-0.6025,-0.135,-0.2275,-0.1725
8,-0.58,-0.55,,-0.1475,-0.1075,-0.145
9,-0.45,-0.6825,-0.5975,-0.144,-0.2525,-0.2
10,-0.535,-0.6725,-0.5975,-0.1375,-0.2275,-0.1525
11,-0.575,-0.6475,-0.61,-0.115,-0.15,-0.05
12,-0.5275,-0.65,-0.4488,-0.1613,-0.0975,-0.0825
13,-0.58,-0.5025,,-0.18,-0.0975,-0.1025
14,-0.54,-0.4475,-0.3975,-0.1775,,-0.0175
15,-0.5325,-0.5475,-0.3725,-0.1575,-0.07,-0.0612
16,-0.5775,-0.485,-0.2975,-0.35,-0.045,0.0575
17,-0.4575,-0.45,-0.2925,-0.4,0.0050,0.1625
18,-0.445,-0.3975,,-0.4025,0.0275,0.0975
19,-0.4225,-0.3975,-0.296,-0.4025,-0.0525,0.1000
20,-0.5175,-0.3613,-0.3025,-0.395,0.1200,-0.065
21,-0.45,-0.3025,-0.2475,-0.2475,,
22,-0.4525,-0.34,-0.1775,,0.0550,-0.04
23,-0.4425,-0.305,-0.1975,-0.3,0.0700,0.0425
24,-0.3975,-0.195,-0.2,-0.16,-0.0475,0.8525
25,-0.345,-0.2325,-0.2575,-0.075,-0.0275,0.8550
26,-0.375,-0.23,-0.3775,-0.0775,0.3825,0.5075
27,-0.425,,-0.2975,-0.0625,0.1975,0.4025
28,-0.57,,-0.1975,-0.0375,0.2263,1.4850
29,-0.575,-0.395,-0.24,0.0550,0.3025,1.2750
30,-0.475,-0.4375,-0.23,,0.2250,1.4825
31,-0.5175,-0.385,-0.1675,0.1050,0.2050,1.1825
32,-0.625,-0.4225,-0.21,0.0863,0.2200,
33,-0.675,-0.6,-0.38,,0.0000,0.3025
34,-0.7375,-0.87,-0.545,-0.3975,-0.0025,-0.345
35,-0.8025,-0.75,,,,-0.4475
36,-0.7075,-0.75,-0.755,-0.455,-0.0475,-0.5975
37,-0.7775,-0.705,-0.8525,-0.4975,-0.1,-0.35
38,-0.7,,-0.7025,-0.485,-0.055,-0.195
39,-0.7475,-0.6375,-0.6525,-0.595,-0.16,-0.6488
40,,-0.6913,-0.645,-0.76,-0.045,-0.9925
41,,-0.625,-0.7525,-0.845,-0.07,-1.0075
42,,-0.455,-0.595,-0.69,-0.0475,-0.4975
43,,-0.45,-0.4425,-0.5975,-0.0175,-0.35
44,,-0.455,-0.4488,-0.5525,,-0.3025
45,,-0.525,,-0.7,-0.0425,-0.3
46,,,-0.4225,-0.7,-0.0675,-0.4
47,,-0.58,-0.42,-0.6975,-0.015,-0.4175
48,,-0.64,-0.355,-0.5975,-0.135,
