"CHARLESTON MO - CARGILL - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.29,0.1025,0.0775,0.1425,0.2775,0.6300
2,-0.29,0.1200,0.0350,0.2000,0.3475,0.8075
3,-0.375,0.0925,-0.1025,0.2200,0.2450,0.7400
4,-0.315,-0.04,-0.085,0.2200,0.3475,0.5000
5,-0.2475,0.0000,-0.0875,0.1625,0.3000,0.4275
6,-0.255,-0.0125,0.0125,0.1200,0.4425,0.3300
7,-0.205,-0.1025,0.0575,0.1350,0.3425,0.5775
8,-0.205,0.0000,0.0525,0.0925,0.3925,0.1775
9,-0.25,-0.1325,-0.0875,-0.004,0.2475,0.0850
10,-0.15,-0.2125,-0.0875,0.0225,0.2125,0.0000
11,-0.155,-0.2375,-0.1,0.0550,0.2000,0.0375
12,-0.325,-0.23,-0.0988,-0.0212,0.0125,0.0600
13,-0.2475,-0.1525,-0.1125,-0.06,0.2025,-0.0725
14,-0.18,-0.0075,-0.1175,-0.0275,0.1950,-0.0725
15,-0.15,-0.0075,-0.0625,0.0525,-0.04,-0.0075
16,-0.1025,-0.005,-0.0175,-0.02,0.2450,0.0038
17,-0.1275,-0.08,-0.2125,-0.15,0.2450,0.0575
18,-0.0875,0.0225,0.0275,-0.1225,0.2475,0.0525
19,-0.105,0.0425,0.0740,-0.1525,0.2475,0.0875
20,-0.0625,0.0337,0.0187,-0.075,0.2500,0.0600
21,-0.0575,-0.0025,0.0425,-0.0775,0.1975,0.0550
22,-0.05,0.0000,0.0125,-0.0075,0.1950,0.0550
23,-0.0025,-0.005,-0.0275,0.0000,0.1500,0.0600
24,0.1075,0.0450,0.0100,0.0950,0.2425,0.0925
25,0.0125,-0.0025,0.0025,0.1450,0.1325,0.9525
26,0.0450,0.0000,-0.0875,0.1925,0.2625,0.8150
27,0.0650,-0.0025,0.0225,0.2675,-0.0025,0.4475
28,0.0100,0.0325,0.0225,0.3025,-0.0088,-0.0175
29,-0.2,-0.105,0.0800,-0.035,-0.0975,1.1150
30,-0.225,-0.1975,,0.0550,0.0650,0.1650
31,-0.075,-0.095,0.1325,0.0350,0.1450,-0.5175
32,-0.2275,-0.5425,0.0700,0.0863,,-0.5275
33,-0.355,-0.57,-0.1,0.2450,0.1000,0.2000
34,-0.425,-0.65,-0.085,0.0925,0.0975,0.1925
35,-0.4075,-0.75,-0.05,0.1750,0.2175,0.0950
36,-0.3525,-0.66,-0.355,-0.055,0.1513,-0.0075
37,-0.2275,-0.525,-0.6025,,0.2200,-0.2375
38,-0.2275,-0.4625,-0.2525,-0.045,0.2250,0.1500
39,-0.06,-0.5275,-0.2125,-0.085,-0.05,0.3450
40,0.0025,-0.3813,-0.275,-0.1,-0.005,0.2363
41,,-0.295,-0.3125,-0.125,0.1800,0.2975
42,,-0.225,-0.205,-0.06,0.2625,0.3425
43,,-0.2,-0.1225,0.0125,0.2625,0.1925
44,,-0.265,-0.0938,-0.1025,0.2675,0.4000
45,,-0.285,-0.1575,-0.02,0.2275,0.4475
46,,-0.3,-0.0825,0.0800,0.1725,0.4000
47,,-0.27,-0.03,0.1225,0.2250,0.3000
48,,-0.16,-0.005,0.1225,0.1237,0.2475
