"CHARLESTON MO - CGB-BIRDS POINT TERMINAL - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.21,0.1525,0.0275,
2,-0.26,0.0500,0.0550,
3,-0.345,0.0525,-0.1325,
4,-0.285,-0.055,-0.115,
5,-0.2375,-0.05,,
6,-0.255,-0.0325,,
7,-0.165,-0.0925,,
8,-0.115,0.1000,,
9,-0.22,-0.2025,,
10,-0.2,-0.2325,-0.1175,
11,-0.145,-0.3175,-0.17,
12,-0.305,-0.23,-0.1188,
13,-0.2975,,,0.2650
14,-0.28,,,0.2325
15,-0.27,,,0.3075
16,-0.2725,,,0.3425
17,-0.2775,0.0000,-0.0525,0.2150
18,,0.0025,,0.3650
19,,0.0025,-0.006,
20,,-0.0012,-0.0112,
21,,,,0.2050
22,,,,0.1925
23,,,,0.2250
24,,,,-0.055
25,,,0.0025,-0.0575
26,,,-0.0975,-0.095
27,,,0.0025,-0.125
28,,,0.0225,-0.15
29,,,0.0700,-0.145
30,,,0.0700,-0.09
31,,,0.0825,-0.0675
32,,,0.1150,-0.0775
33,,,,-0.05
34,,,,0.1000
35,,,,0.1125
36,-0.4125,,,0.0725
37,-0.2675,-0.555,-0.4325,
38,-0.2875,-0.5225,-0.3025,
39,-0.1,-0.4975,-0.2325,
40,0.0425,-0.3513,-0.275,
41,,-0.275,-0.3525,
42,,-0.145,-0.195,
43,,-0.2,-0.1225,
44,,-0.225,-0.0988,
45,,-0.255,-0.1475,
46,,-0.29,-0.1025,
47,,-0.13,-0.05,
48,,-0.14,0.0750,
