"CHULA     MO - CHULA FARMERS COOP - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.85,-0.7075,-0.9325,,,-0.32
2,-0.85,-0.8,-0.845,,-0.645,-0.3225
3,-0.905,-0.7975,-0.9025,,-0.6025,-0.35
4,-0.9,-0.775,-0.905,,-0.58,-0.35
5,-0.8975,-0.75,-0.8975,,-0.5175,
6,-0.905,-0.7525,-0.8975,,,-0.4
7,-0.845,-0.7525,-0.9025,,-0.5075,-0.5525
8,-0.845,-0.75,-0.8475,,-0.5025,-0.4925
9,-0.8,,-0.9475,,-0.5175,-0.635
10,-0.8,,-0.9475,,-0.45,-0.55
11,-0.805,,-0.95,,-0.4375,-0.5525
12,-0.805,,-0.8738,,-0.5075,-0.4
13,-0.7975,-0.9025,,-0.6475,-0.455,-0.2625
14,-0.75,-0.7975,,-0.7,,-0.3125
15,-0.75,-0.7475,,-0.68,-0.445,-0.3175
16,-0.7525,-0.745,,,-0.355,-0.2863
17,-0.8775,,,,-0.3525,-0.2025
18,-0.8975,,,,-0.3525,-0.1575
19,-0.895,,,,-0.35,-0.1025
20,-0.8475,,,,-0.3525,-0.18
21,-0.8475,-0.7025,-0.7475,,-0.355,-0.505
22,-0.85,-0.6,-0.6975,,,-0.475
23,-0.8525,-0.605,-0.5475,,-0.2875,-0.3
24,-0.8525,-0.595,-0.55,-0.245,-0.3875,-0.3275
25,-0.8775,-0.6025,,-0.2975,-0.1775,0.3225
26,-0.805,-0.6,,-0.295,-0.3525,0.3150
27,-0.805,-0.6025,,-0.555,-0.3337,0.2975
28,-0.75,-0.5975,,,-0.2275,0.2525
29,-0.67,-0.645,-0.83,,-0.085,
30,-0.725,-0.7075,-0.63,,-0.095,
31,-0.725,-0.575,-0.6675,,0.0000,
32,-0.7175,-0.7025,-0.635,-0.995,-0.4,
33,-0.895,-0.85,-0.75,-1,-0.5025,
34,-0.905,-0.85,-0.745,-0.9475,-0.5225,
35,-0.8475,-0.85,-0.75,-0.9525,-0.5288,-0.855
36,-0.8525,-0.85,-0.755,-0.85,-0.55,-0.8475
37,-0.8475,-0.905,-0.8025,-0.85,-0.505,-0.9275
38,-0.8475,-0.9025,-0.8025,-0.8475,-0.5,-0.92
39,-0.8,-0.8475,-0.8025,-0.8475,-0.505,-0.855
40,-0.7975,-0.9013,-0.795,,,-0.8075
41,,-0.955,-1.0525,,-0.4575,-1.0025
42,,-0.695,-0.905,,-0.3475,-0.9575
43,,-0.7,-0.9025,,-0.4525,-0.8975
44,,-0.695,-0.8988,,,
45,,-0.755,-0.6975,,,
46,,-0.75,-0.7025,,,-0.7
47,,-0.72,-0.7,,,-0.67
48,,-0.72,-0.695,,,-0.725
