"CONCORDIA MO - MFA INCORPORATED - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.5075,-0.6925,-0.1975,,0.0000
2,-0.75,-0.6,-0.655,-0.2,,
3,-0.745,-0.5975,-0.7025,-0.2,,
4,-0.75,-0.6,-0.705,-0.2,,
5,-0.6975,-0.6,-0.6475,-0.1975,-0.2425,-0.0225
6,-0.705,-0.6025,-0.6475,-0.2,-0.2475,-0.2
7,-0.695,-0.6025,-0.6525,-0.205,-0.25,-0.2025
8,-0.655,-0.6,-0.6475,-0.1975,-0.2475,-0.3025
9,-0.7,-0.7025,-0.7575,-0.304,,-0.345
10,-0.7,-0.7025,-0.7575,-0.3475,,-0.21
11,-0.695,-0.6975,-0.7,-0.345,,-0.2025
12,-0.655,-0.7,-0.6738,-0.3763,,-0.2
13,-0.6475,-0.6525,-0.6025,,,-0.1525
14,-0.65,-0.5975,-0.5975,,,-0.1825
15,-0.65,-0.5475,-0.6025,,,-0.1475
16,-0.6525,-0.495,-0.4975,-0.45,,-0.145
17,-0.7675,-0.6,-0.6025,-0.55,-0.0925,
18,-0.7475,-0.5975,-0.6025,,-0.105,
19,-0.745,-0.5775,-0.496,-0.5025,-0.1,
20,-0.7275,-0.5013,-0.4013,-0.495,-0.1475,
21,-0.6975,-0.5025,-0.3975,-0.4975,-0.1175,-0.105
22,-0.65,-0.35,-0.3975,-0.5475,,-0.175
23,-0.6525,-0.355,-0.3475,-0.55,,-0.17
24,-0.6525,-0.295,-0.35,-0.445,,-0.1875
25,-0.6975,-0.3025,-0.3975,-0.445,,
26,-0.695,-0.3,-0.3975,-0.4475,,
27,-0.655,-0.2525,-0.3975,-0.3825,,
28,-0.65,-0.2475,-0.4975,-0.3375,,
29,-0.62,-0.295,-0.53,,-0.15,0.9850
30,-0.625,-0.4475,-0.53,,-0.2525,0.8350
31,-0.625,,-0.5675,,-0.2625,
32,-0.6175,-0.5525,-0.435,,,
33,-0.745,-0.7,,-0.195,-0.5,1.7000
34,-0.755,-0.7,,-0.1975,-0.445,1.4525
35,-0.7475,-0.7,-0.55,-0.195,-0.45,-0.605
36,,-0.7,-0.755,,-0.405,-0.5975
37,-0.6975,-0.845,-0.8025,-0.6975,,-0.7475
38,-0.6975,-0.8525,-0.7525,-0.695,,
39,-0.6,-0.8475,-0.7525,-0.695,,
40,-0.5975,-0.8913,-0.745,-0.7,,
41,,-0.845,-0.8525,-0.795,-0.1525,-0.7925
42,,-0.745,-0.855,-0.8,-0.1775,
43,,-0.7,-0.7525,-0.7475,-0.145,
44,,-0.695,-0.7025,-0.7525,-0.1475,
45,,-0.695,-0.6475,-0.7,,-0.4925
46,,-0.7,-0.6025,-0.6,,-0.5
47,,-0.7,,-0.5975,,-0.4
48,,-0.7,,-0.5975,,-0.43
