"CORDER MO - RAY-CARROLL GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.75,-0.5075,-0.6225,
2,-0.75,-0.6,-0.595,
3,-0.745,-0.5475,-0.6525,-0.1575
4,-0.75,-0.55,-0.655,-0.15
5,-0.6975,-0.55,-0.6475,-0.205
6,-0.655,-0.5525,-0.6475,-0.2075
7,-0.645,-0.5525,-0.6225,-0.274
8,-0.655,-0.56,-0.6175,-0.2775
9,-0.7,-0.6625,-0.6675,-0.275
10,-0.7,-0.7025,-0.6475,-0.3013
11,-0.645,-0.6975,-0.65,-0.3
12,-0.655,-0.7,-0.6238,-0.3575
13,-0.6475,-0.6025,-0.5525,-0.2675
14,-0.65,-0.5475,-0.5475,-0.4
15,-0.65,-0.4975,-0.5525,-0.45
16,-0.6525,-0.445,-0.4475,-0.5025
17,-0.7675,-0.56,-0.5525,-0.4525
18,-0.7475,-0.5575,-0.5025,-0.405
19,-0.745,-0.4475,-0.446,-0.4075
20,-0.7275,-0.4513,-0.3512,-0.5075
21,-0.6475,-0.4525,-0.3475,-0.5
22,-0.6,-0.25,-0.2975,-0.39
23,-0.6025,-0.255,-0.2975,-0.335
24,-0.6025,-0.195,-0.3,-0.2275
25,-0.6475,-0.2525,-0.3475,-0.1625
26,-0.595,-0.25,-0.3475,-0.1875
27,-0.605,-0.2525,-0.3975,-0.235
28,-0.6,-0.2475,-0.4475,-0.125
29,-0.57,-0.295,-0.5,-0.145
30,-0.575,-0.4875,-0.43,-0.2137
31,-0.575,-0.485,-0.3675,-0.045
32,-0.5675,-0.5775,-0.31,-0.1075
33,-0.695,,-0.5,-0.255
34,-0.705,,-0.495,-0.705
35,-0.6975,,,
36,-0.7025,,,
37,,,,-0.755
38,,,,-0.7
39,,,,-0.805
40,,-0.93,,-0.8
41,,-0.795,-0.8525,-0.7475
42,,-0.745,-0.855,-0.7025
43,,-0.7,-0.7525,-0.6
44,,-0.695,-0.6488,-0.6
45,,-0.695,-0.5975,-0.5975
46,,-0.7,-0.5525,-0.5975
47,,-0.7,-0.55,
48,,-0.65,-0.505,
