"HAMILTON  MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.83,-0.6975,-0.8525,-0.3775,-0.6525,-0.02
2,-0.8,-0.79,-0.855,-0.37,-0.6525,-0.3025
3,-0.805,-0.7875,-0.8525,-0.37,-0.655,-0.25
4,-0.8,-0.79,-0.855,-0.37,-0.6525,-0.27
5,-0.8475,-0.74,-0.8375,-0.3375,-0.62,-0.1225
6,-0.855,-0.7425,-0.8375,-0.33,-0.6575,-0.3
7,-0.845,-0.7425,-0.8325,-0.335,-0.6575,-0.4925
8,-0.805,-0.74,-0.8375,-0.3375,-0.6575,-0.4525
9,-0.92,-0.7825,-0.9375,-0.384,-0.6525,-0.445
10,-0.8,-0.7825,,-0.3875,-0.6375,-0.48
11,-0.805,-0.7775,-0.93,-0.385,-0.5,-0.4025
12,-0.805,-0.78,-0.8338,-0.3813,-0.4975,-0.25
13,-0.6975,-0.7825,-0.7625,-0.46,-0.4975,-0.2025
14,-0.7,-0.7775,-0.7675,-0.4775,-0.495,-0.2425
15,-0.7,-0.6475,-0.7625,-0.4575,-0.49,-0.3375
16,-0.7025,-0.645,-0.7675,-0.62,-0.495,-0.2312
17,-0.7975,-0.7,-0.7025,-0.67,-0.415,-0.0825
18,-0.7975,-0.6975,-0.6925,-0.6725,-0.3125,-0.0575
19,-0.795,-0.6975,-0.696,-0.6725,-0.4325,-0.0025
20,-0.7975,-0.7013,-0.6913,-0.675,-0.43,-0.1
21,-0.7975,,-0.6375,-0.6775,-0.3325,
22,-0.8,-0.5,-0.6375,-0.7675,-0.335,-0.335
23,-0.8025,-0.505,-0.6375,-0.76,-0.33,-0.22
24,-0.8025,-0.495,-0.63,-0.655,-0.3275,-0.1975
25,-0.8475,,,-0.575,-0.3375,0.4225
26,-0.845,-0.3,-0.6075,-0.5775,-0.1675,0.2050
27,-0.855,-0.3025,-0.6075,-0.5025,-0.3325,0.3975
28,-0.85,-0.3475,-0.5975,-0.8175,-0.3338,0.4325
29,-0.8,-0.495,,-0.865,-0.6975,1.1350
30,-0.805,-0.5975,-0.62,-0.805,-0.685,1.2150
31,-0.795,-0.605,-0.6575,-0.825,-0.705,0.9225
32,-0.7975,-0.6025,-0.625,-0.8938,-0.58,1.9725
33,-0.895,,-0.69,-0.675,-0.13,2.1500
34,-0.905,,-0.685,-0.6875,-0.3325,0.7425
35,-0.8975,,-0.69,-0.685,-0.4525,
36,-0.9025,,-0.695,-0.685,-0.4338,-0.8075
37,-0.7475,-0.795,-0.7925,-0.6875,-0.52,-1.0675
38,-0.7475,-0.8025,-0.7925,-0.675,-0.525,-0.96
39,-0.75,-0.7975,-0.7925,-0.685,-0.47,-0.855
40,-0.7975,-0.8263,-0.775,-0.75,-0.475,-0.9038
41,,-0.845,-0.9025,-0.805,-0.51,-0.9425
42,,-0.745,-0.835,-0.92,-0.3975,-0.9475
43,,-0.75,-0.8325,-0.9075,-0.3375,-0.7575
44,,-0.755,-0.6988,-0.9075,-0.3725,-0.75
45,,-0.655,-0.6975,-0.8,-0.6225,-0.7525
46,,-0.65,-0.7025,-0.8,-0.4075,-0.75
47,,-0.7,-0.7,-0.8075,-0.375,-0.76
48,,-0.7,-0.695,-0.8075,-0.3713,-0.7175
