"HARRISONVILLE MO - ROTH HEREFORD FARMS - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.8,-0.6075,-0.7525,-0.2775,-0.5525,-0.15
2,-0.8,-0.7,-0.745,-0.28,-0.5525,-0.1525
3,-0.805,-0.6975,-0.7525,-0.28,-0.545,-0.15
4,-0.8,-0.7,-0.755,-0.28,-0.5525,-0.15
5,-0.7975,-0.6,,-0.2775,,-1.1725
6,-0.805,-0.6025,-0.7475,-0.28,,-0.15
7,-0.805,-0.6025,-0.7525,-0.285,,-0.1525
8,-0.805,-0.6,-0.7475,-0.2775,,-0.1525
9,-0.8,-0.7025,-0.8475,-0.324,,-0.155
10,-0.8,-0.7025,-0.8475,-0.3175,-0.3475,-0.15
11,-0.805,-0.6975,-0.85,-0.315,-0.4,-0.3025
12,-0.695,-0.7,-0.7488,-0.3613,-0.3975,-0.3
13,-0.6975,-0.6525,-0.7525,-0.4,-0.3975,
14,-0.7,-0.6475,-0.6475,-0.3975,-0.445,
15,-0.7,-0.6475,-0.6525,-0.3075,-0.45,
16,-0.7025,-0.555,-0.6475,-0.55,-0.43,
17,-0.7975,-0.65,-0.6525,-0.65,-0.355,
18,-0.7975,-0.6475,-0.6525,-0.6525,-0.3525,
19,-0.795,-0.6475,-0.646,-0.6525,-0.3525,
20,-0.7975,-0.6513,-0.5513,-0.645,-0.35,
21,-0.6475,-0.4525,-0.5475,-0.6475,-0.4425,
22,-0.65,-0.45,-0.5475,-0.5975,-0.305,
23,-0.6525,-0.445,-0.5475,-0.6,-0.3,
24,-0.6525,-0.445,-0.55,-0.595,-0.2975,
25,-0.7075,,-0.5775,-0.595,-0.2475,
26,-0.715,,-0.5775,-0.5975,-0.0775,
27,-0.715,,-0.6175,-0.7125,-0.2525,
28,-0.48,-0.2975,-0.6175,-0.7375,-0.2475,
29,-0.52,-0.305,,,,
30,-0.525,-0.3375,,,,
31,-0.525,-0.485,,,,
32,-0.5175,-0.4775,,,,
33,-0.695,,,,,
34,-0.705,-0.85,,-0.6975,,
35,-0.6975,-0.85,,-0.695,,
36,-0.7525,-0.85,,-0.845,-0.6488,
37,-0.7975,-0.945,-0.8025,-0.8475,-0.65,
38,-0.7975,-0.9525,-0.8025,-0.845,-0.645,-0.65
39,-0.8,-0.9475,-0.8025,-0.855,-0.5,-0.845
40,-0.7975,-0.9413,-0.795,-0.85,-0.405,-0.8488
41,,-0.905,-0.9225,-0.845,-0.42,-0.9525
42,,-0.895,-0.925,-1,-0.3275,-0.9475
43,,-0.65,-0.8225,-0.9975,-0.3275,-0.9475
44,,-0.655,-0.8188,-1.0525,-0.3325,-0.75
45,,-0.655,-0.8175,-0.8,-0.3325,-0.6525
46,,-0.65,-0.8225,-0.8,-0.3575,-0.65
47,,-0.65,-0.75,-0.7975,-0.325,-0.65
48,,-0.65,-0.595,-0.7975,-0.3275,-0.6725
