"JASPER MO - MANEVAL INC - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.9,-0.7075,-0.8325,-0.2975,-0.5525,-0.3
2,-0.9,-0.8,-0.795,-0.4,-0.5425,-0.1625
3,-0.905,-0.7975,-0.7925,-0.4,-0.595,-0.23
4,-0.9,-0.8,-0.795,-0.4,-0.5325,-0.265
5,-0.7975,-0.85,-0.6375,-0.4975,-0.52,-0.1525
6,-0.805,-0.8525,-0.5975,-0.48,-0.5375,-0.35
7,-0.805,-0.8525,-0.6025,-0.495,-0.2275,-0.4425
8,-0.805,-0.85,-0.5975,-0.4975,-0.3975,-0.5525
9,-0.75,-1.0025,-0.7075,-0.514,-0.3825,-0.425
10,-0.75,-1.0025,-0.7475,-0.4975,-0.3975,-0.58
11,-0.745,-0.9975,-0.75,-0.495,-0.37,-0.4525
12,-0.745,-1,-0.7488,-0.4963,-0.3975,-0.47
13,-0.4975,-0.7525,-0.7025,-0.4,-0.3975,-0.1225
14,-0.5,-0.9475,-0.6975,-0.3975,-0.395,-0.2025
15,-0.5,-0.9475,-0.7025,-0.3575,-0.4,-0.3375
16,-0.5025,-0.945,-0.6975,-0.45,-0.395,-0.2013
17,-0.2075,-0.75,-0.6025,-0.6,-0.295,-0.1025
18,-0.5975,-0.7475,-0.6025,-0.5925,-0.2925,-0.1275
19,-0.595,-0.7475,-0.596,-0.5925,-0.2925,-0.4425
20,-0.5975,-0.7513,-0.5763,-0.595,-0.3,-0.13
21,-0.3975,-0.5025,-0.5475,-0.5975,-0.2025,-0.125
22,-0.7,-0.5,-0.5475,-0.0975,-0.095,-0.255
23,-0.7025,-0.505,-0.5475,-0.1,-0.1,-0.29
24,-0.7025,-0.495,-0.55,-0.095,-0.0975,-0.3075
25,-0.6975,-0.6525,-0.2975,-0.195,-0.2475,0.4725
26,-0.695,-0.65,-0.2975,-0.1975,-0.0875,0.3350
27,-0.695,-0.6525,-0.2975,-0.2625,-0.2525,0.6275
28,-0.7,-0.6475,-0.2975,-0.1675,-0.2237,0.4275
29,-0.8,-0.605,-0.6,-0.285,0.0025,1.4350
30,-0.805,-0.5975,-0.6,-0.355,-0.095,1.1350
31,-0.795,-0.605,-0.5975,-0.395,-0.095,0.6025
32,-0.7975,-0.6025,-0.6,-0.4537,0.0300,1.1425
33,-0.795,-0.5,-0.5,-0.235,0.0000,1.3800
34,-0.805,-0.5,-0.495,-0.2475,0.0075,1.4625
35,-0.7975,-0.7,-0.5,-0.245,-0.0125,0.5750
36,-0.8025,-0.7,-0.505,-0.235,0.0013,0.5325
37,-0.7975,-0.795,-0.6025,-0.2675,-0.2,-0.3775
38,-0.7975,-0.8025,-0.6025,-0.585,-0.445,-0.65
39,-0.8,-0.7975,-0.9025,-0.745,-0.48,-0.795
40,-0.7975,-0.9013,-0.895,-0.75,-0.445,-0.8388
41,,-1.005,-1.0525,-0.795,-0.48,-0.8925
42,,-0.995,-1.055,-0.8,-0.3975,-0.8875
43,,-1,-1.0525,-0.7975,-0.3775,-0.7175
44,,-1.005,-1.0488,-0.7975,-0.3925,-0.67
45,,-1.095,-0.9975,-0.8,-0.3925,-0.7025
46,,-1.1,-1.0025,-0.8,-0.4275,-0.78
47,,-1.1,-1,-0.7975,-0.395,-0.61
48,,-1.1,-1.005,-0.7975,-0.3913,-0.4575
