"KANSAS CITY MO - BARTLETT GRAIN CO LP KANSAS - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,,-0.3875,-0.5225,
2,,-0.4,-0.505,
3,,-0.3975,-0.6025,
4,-0.395,-0.365,-0.525,
5,-0.355,-0.35,-0.5175,
6,-0.44,-0.3825,-0.4775,
7,-0.35,-0.4025,-0.4825,-0.15
8,-0.355,-0.4,-0.4775,-0.1975
9,-0.345,-0.5025,-0.5375,-0.1575
10,-0.3975,-0.5025,-0.5375,-0.5
11,-0.4,-0.4975,-0.52,-0.38
12,-0.4,-0.45,-0.4775,-0.4325
13,-0.4025,-0.3525,,-0.3525
14,-0.4775,-0.3475,,-0.305
15,-0.3575,-0.2975,,-0.2975
16,-0.355,-0.305,,-0.4975
17,-0.4275,-0.35,,-0.5
18,-0.4475,-0.2475,-0.2525,-0.355
19,-0.45,-0.0975,-0.206,-0.355
20,-0.4525,-0.0763,-0.2013,-0.3575
21,,-0.0525,-0.1975,-0.2925
22,-0.4975,-0.15,-0.1975,-0.3175
23,-0.405,-0.055,-0.1975,-0.365
24,-0.385,-0.055,-0.2,-0.305
25,-0.375,-0.1025,,-0.325
26,-0.36,-0.1,-0.3475,-0.3938
27,-0.365,-0.0525,-0.3475,-0.175
28,-0.375,-0.0475,-0.3575,-0.3975
29,-0.3675,-0.095,,-0.405
30,-0.505,-0.3475,-0.32,-0.455
31,-0.525,-0.385,-0.2975,-0.4975
32,-0.5475,-0.4775,-0.205,-0.495
33,-0.5525,-0.6,-0.35,-0.545
34,-0.5475,-0.7,-0.555,-0.55
35,-0.4975,-0.7,-0.55,-0.705
36,-0.45,-0.7,-0.555,-0.65
37,-0.4475,-0.705,-0.5525,-0.6175
38,,-0.6025,-0.5525,-0.5525
39,,-0.5975,-0.5025,-0.55
40,,-0.5913,-0.395,-0.55
41,,-0.555,-0.7025,-0.5175
42,,-0.405,-0.605,-0.5175
43,,-0.4,-0.5725,
44,,-0.405,-0.4538,
45,,-0.405,-0.3775,
46,,,-0.3825,
47,,,-0.38,
48,,,-0.385,
